hash,cb_enc_clauses_exitcode,cb_enc_clauses_result,cb_enc_clauses_CPUTIME,cb_enc_clauses_MAXVM,cb_enc_clauses_MERGING,cb_enc_clauses_NO_MERGING,cb_enc_clauses_NO_CB,cb_enc_clauses_out,cb_enc_clauses_var,cb_enc_clauses_wat
009f795766e470b1e3f38815240eeae3,0,solved,0.069965,19212,41566,41610,98486,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/009f795766e470b1e3f38815240eeae3.cb-enc-clauses.out,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/009f795766e470b1e3f38815240eeae3.cb-enc-clauses.var,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/009f795766e470b1e3f38815240eeae3.cb-enc-clauses.wat
01e6ba61c8ac436a870013cbc0373579,0,solved,2.1953,156992,458182,496085,257351,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/01e6ba61c8ac436a870013cbc0373579.cb-enc-clauses.out,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/01e6ba61c8ac436a870013cbc0373579.cb-enc-clauses.var,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/01e6ba61c8ac436a870013cbc0373579.cb-enc-clauses.wat
01f0768e486bff9e8c1752f112cbdfcc,0,solved,9.0897,516708,2101971,2130253,1679597,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/01f0768e486bff9e8c1752f112cbdfcc.cb-enc-clauses.out,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/01f0768e486bff9e8c1752f112cbdfcc.cb-enc-clauses.var,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/01f0768e486bff9e8c1752f112cbdfcc.cb-enc-clauses.wat
031398e89f8c691036f2483ee8d0741e,0,solved,31.6205,155380,414979,434328,165774,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/031398e89f8c691036f2483ee8d0741e.cb-enc-clauses.out,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/031398e89f8c691036f2483ee8d0741e.cb-enc-clauses.var,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/031398e89f8c691036f2483ee8d0741e.cb-enc-clauses.wat
070cfcf28df41a2d25853d2b6e6410bf,0,solved,2.10871,275420,845601,851531,1180799,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/070cfcf28df41a2d25853d2b6e6410bf.cb-enc-clauses.out,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/070cfcf28df41a2d25853d2b6e6410bf.cb-enc-clauses.var,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/070cfcf28df41a2d25853d2b6e6410bf.cb-enc-clauses.wat
07bf0e9791e8c94100b3f44ea0c00f44,0,solved,1.48746,116880,32029,162776,360362,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/07bf0e9791e8c94100b3f44ea0c00f44.cb-enc-clauses.out,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/07bf0e9791e8c94100b3f44ea0c00f44.cb-enc-clauses.var,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/07bf0e9791e8c94100b3f44ea0c00f44.cb-enc-clauses.wat
08713e4014212cfb4b5f38af643a7a55,0,solved,3.39608,248992,972684,973396,902722,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/08713e4014212cfb4b5f38af643a7a55.cb-enc-clauses.out,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/08713e4014212cfb4b5f38af643a7a55.cb-enc-clauses.var,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/08713e4014212cfb4b5f38af643a7a55.cb-enc-clauses.wat
0a92f0b6321097b10c84e4cd4c64c66f,0,solved,10.993,102560,14057,14836,17901,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/0a92f0b6321097b10c84e4cd4c64c66f.cb-enc-clauses.out,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/0a92f0b6321097b10c84e4cd4c64c66f.cb-enc-clauses.var,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/0a92f0b6321097b10c84e4cd4c64c66f.cb-enc-clauses.wat
0bc6c5e6674f0cd4aa4c3bf1cf2ebc70,0,solved,0.153641,116436,128898,128919,159174,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.cb-enc-clauses.out,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.cb-enc-clauses.var,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.cb-enc-clauses.wat
0ec932de353de4de3bc67c4caec08bb9,0,solved,0.014825,17840,2157,2364,4648,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/0ec932de353de4de3bc67c4caec08bb9.cb-enc-clauses.out,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/0ec932de353de4de3bc67c4caec08bb9.cb-enc-clauses.var,/wrk-kappa/users/chrisjab/gbd-experiments/cb-clause-data/results/0ec932de353de4de3bc67c4caec08bb9.cb-enc-clauses.wat
