hash,scuttle_dc_pmin_CB_START,scuttle_dc_pmin_CB_END,scuttle_dc_pmin_CB_CPUTIME,scuttle_dc_pmin_SEARCH_START,scuttle_dc_pmin_SEARCH_END,scuttle_dc_pmin_SEARCH_CPUTIME,scuttle_dc_pmin_IDEAL_POINT,scuttle_dc_pmin_prepro_CB_START,scuttle_dc_pmin_prepro_CB_END,scuttle_dc_pmin_prepro_CB_CPUTIME,scuttle_dc_pmin_prepro_SEARCH_START,scuttle_dc_pmin_prepro_SEARCH_END,scuttle_dc_pmin_prepro_SEARCH_CPUTIME,scuttle_dc_pmin_prepro_IDEAL_POINT,scuttle_dc_pmin_inpro_CB_START,scuttle_dc_pmin_inpro_CB_END,scuttle_dc_pmin_inpro_CB_CPUTIME,scuttle_dc_pmin_inpro_SEARCH_START,scuttle_dc_pmin_inpro_SEARCH_END,scuttle_dc_pmin_inpro_SEARCH_CPUTIME,scuttle_dc_pmin_inpro_IDEAL_POINT,scuttle_dc_bos_CB_START,scuttle_dc_bos_CB_END,scuttle_dc_bos_CB_CPUTIME,scuttle_dc_bos_SEARCH_START,scuttle_dc_bos_SEARCH_END,scuttle_dc_bos_SEARCH_CPUTIME,scuttle_dc_bos_IDEAL_POINT,scuttle_dc_bos_prepro_CB_START,scuttle_dc_bos_prepro_CB_END,scuttle_dc_bos_prepro_CB_CPUTIME,scuttle_dc_bos_prepro_SEARCH_START,scuttle_dc_bos_prepro_SEARCH_END,scuttle_dc_bos_prepro_SEARCH_CPUTIME,scuttle_dc_bos_prepro_IDEAL_POINT,scuttle_dc_bos_inpro_CB_START,scuttle_dc_bos_inpro_CB_END,scuttle_dc_bos_inpro_CB_CPUTIME,scuttle_dc_bos_inpro_SEARCH_START,scuttle_dc_bos_inpro_SEARCH_END,scuttle_dc_bos_inpro_SEARCH_CPUTIME,scuttle_dc_bos_inpro_IDEAL_POINT,scuttle_dc_lb_CB_START,scuttle_dc_lb_CB_END,scuttle_dc_lb_CB_CPUTIME,scuttle_dc_lb_SEARCH_START,scuttle_dc_lb_SEARCH_END,scuttle_dc_lb_SEARCH_CPUTIME,scuttle_dc_lb_IDEAL_POINT,scuttle_dc_lb_prepro_CB_START,scuttle_dc_lb_prepro_CB_END,scuttle_dc_lb_prepro_CB_CPUTIME,scuttle_dc_lb_prepro_SEARCH_START,scuttle_dc_lb_prepro_SEARCH_END,scuttle_dc_lb_prepro_SEARCH_CPUTIME,scuttle_dc_lb_prepro_IDEAL_POINT,scuttle_dc_lb_inpro_CB_START,scuttle_dc_lb_inpro_CB_END,scuttle_dc_lb_inpro_CB_CPUTIME,scuttle_dc_lb_inpro_SEARCH_START,scuttle_dc_lb_inpro_SEARCH_END,scuttle_dc_lb_inpro_SEARCH_CPUTIME,scuttle_dc_lb_inpro_IDEAL_POINT
009f795766e470b1e3f38815240eeae3,0.00,0.03,.03,0.03,14.85,14.82,"(90, 5)",0.07,0.07,0,0.07,4.66,4.59,"(5, 0)",0.00,0.00,0,0.06,7.84,7.78,"(90, 5)",0.00,0.00,0,0.00,13.21,13.21,"(90, 5)",0.08,0.08,0,0.08,4.38,4.30,"(5, 0)",0.00,0.00,0,0.00,14.02,14.02,"(90, 5)",0.00,0.00,0,unknown,unknown,unknown,"(90, 5)",0.09,0.09,0,unknown,unknown,unknown,"(5, 0)",0.00,0.02,.02,unknown,unknown,unknown,"(90, 5)"
01482a289892ee26689d1c530c329dad,0.00,0.01,.01,0.01,unknown,unknown,"(291, 294, 333, 289, 301)",0.00,0.00,0,0.00,unknown,unknown,"(291, 294, 333, 289, 301)",0.00,0.00,0,9.65,unknown,unknown,"(291, 294, 333, 289, 301)",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.00,0.00,0,unknown,unknown,unknown,"(291, 294, 333, 289, 301)",0.00,0.01,.01,unknown,unknown,unknown,"(291, 294, 333, 289, 301)",0.00,0.01,.01,unknown,unknown,unknown,"(291, 294, 333, 289, 301)"
01e6ba61c8ac436a870013cbc0373579,0.00,0.00,0,0.00,14.26,14.26,"(41, 124)",0.00,0.00,0,0.00,13.84,13.84,"(41, 124)",0.00,0.00,0,1.38,16.43,15.05,"(41, 124)",0.00,0.00,0,0.77,15.92,15.15,"(41, 124)",0.00,0.00,0,0.78,16.02,15.24,"(41, 124)",0.00,0.00,0,0.78,15.91,15.13,"(41, 124)",0.00,0.00,0,unknown,unknown,unknown,"(41, 124)",0.00,0.00,0,unknown,unknown,unknown,"(41, 124)",0.00,0.00,0,unknown,unknown,unknown,"(41, 124)"
01f0768e486bff9e8c1752f112cbdfcc,0.00,0.00,0,0.00,2184.80,2184.80,"(266, 254)",0.00,0.00,0,0.00,2179.74,2179.74,"(266, 254)",0.00,0.00,0,3.36,2479.33,2475.97,"(266, 254)",0.00,0.00,0,3.18,2810.55,2807.37,"(266, 254)",0.00,0.00,0,3.28,3005.99,3002.71,"(266, 254)",0.00,0.00,0,3.28,2803.28,2800.00,"(266, 254)",0.00,0.00,0,unknown,unknown,unknown,"(266, 254)",0.00,0.01,.01,unknown,unknown,unknown,"(266, 254)",0.00,0.00,0,unknown,unknown,unknown,"(266, 254)"
0227f5945d769e1031c91305a70f27cb,0.00,0.01,.01,0.01,unknown,unknown,"(314, 358)",0.00,0.00,0,0.00,unknown,unknown,"(314, 358)",0.00,0.00,0,4.47,unknown,unknown,"(314, 358)",0.00,0.00,0,3.88,unknown,unknown,"(314, 358)",0.00,0.00,0,3.77,unknown,unknown,"(314, 358)",0.00,0.00,0,3.77,unknown,unknown,"(314, 358)",0.00,0.00,0,unknown,unknown,unknown,"(314, 358)",0.00,0.00,0,unknown,unknown,unknown,"(314, 358)",0.00,0.00,0,unknown,unknown,unknown,"(314, 358)"
031398e89f8c691036f2483ee8d0741e,0.00,0.00,0,0.00,19.35,19.35,"(200, 890)",0.00,0.00,0,0.00,3.31,3.31,"(200, 890)",0.00,0.00,0,3.55,4.15,.60,"(200, 890)",0.00,0.00,0,17.47,17.85,.38,"(200, 890)",0.00,0.00,0,2.58,2.78,.20,"(200, 890)",0.00,0.00,0,18.35,18.66,.31,"(200, 890)",0.00,0.00,0,unknown,unknown,unknown,"(200, 890)",0.01,0.01,0,unknown,unknown,unknown,"(200, 890)",0.00,0.00,0,unknown,unknown,unknown,"(200, 890)"
0397cc3d0e6ee5da56e9fec1374d6e17,0.02,0.28,.26,0.28,unknown,unknown,"(89, 479, 5)",0.65,0.65,0,0.65,unknown,unknown,"(6, 9, 0)",0.00,0.26,.26,0.76,unknown,unknown,"(89, 479, 5)",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.00,0.25,.25,unknown,unknown,unknown,"(89, 479, 5)",0.60,0.71,.11,unknown,unknown,unknown,"(6, 9, 0)",0.02,0.30,.28,unknown,unknown,unknown,"(89, 479, 5)"
047e5aa5597ed97dd55e26fc4c17a156,0.00,0.00,0,0.00,unknown,unknown,"(284, 270)",0.00,0.00,0,0.00,unknown,unknown,"(284, 270)",0.00,0.00,0,3.58,unknown,unknown,"(284, 270)",0.00,0.00,0,3.29,unknown,unknown,"(284, 270)",0.00,0.00,0,3.46,unknown,unknown,"(284, 270)",0.00,0.00,0,3.48,unknown,unknown,"(284, 270)",0.00,0.00,0,unknown,unknown,unknown,"(284, 270)",0.00,0.00,0,unknown,unknown,unknown,"(284, 270)",0.00,0.00,0,unknown,unknown,unknown,"(284, 270)"
04ee83f5b860d2cc2c67a18efe97ee61,0.04,0.04,0,0.04,unknown,unknown,"(2, 0)",0.58,0.58,0,0.58,unknown,unknown,"(0, 0)",0.03,0.03,0,0.73,unknown,unknown,"(2, 0)",0.01,0.01,0,0.01,unknown,unknown,"(2, 0)",0.65,0.65,0,0.65,unknown,unknown,"(0, 0)",0.02,0.02,0,0.02,unknown,unknown,"(2, 0)",0.02,0.02,0,unknown,unknown,unknown,"(2, 0)",0.66,0.66,0,unknown,unknown,unknown,"(0, 0)",0.02,0.02,0,unknown,unknown,unknown,"(2, 0)"
070cfcf28df41a2d25853d2b6e6410bf,0.00,0.00,0,0.00,59.33,59.33,"(489, 469)",0.00,0.00,0,0.00,59.76,59.76,"(489, 469)",0.00,0.00,0,0.57,48.20,47.63,"(489, 469)",0.00,0.00,0,0.49,50.20,49.71,"(489, 469)",0.00,0.00,0,0.57,51.05,50.48,"(489, 469)",0.00,0.00,0,0.58,55.76,55.18,"(489, 469)",0.00,0.00,0,unknown,unknown,unknown,"(489, 469)",0.00,0.00,0,unknown,unknown,unknown,"(489, 469)",0.00,0.00,0,unknown,unknown,unknown,"(489, 469)"
