hash,family,objectives,s_1_weight_sum,s_2_weight_sum,s_3_weight_sum,s_4_weight_sum,s_5_weight_sum,selected
0000eef35de852093311b6344e8bd51a,packup,2,872,2254,0,0,0,False
0003ed33ca295fb19d0d2e5c0c928fac,packup,4,1784,4676,3083,3033,0,False
0015c3aefda5379b6d970017576fe3fb,packup,3,1539,1094,1400,0,0,False
001772b5f1d10f8ed9dfbcf9fb99bf77,packup,3,837,5367,3822,0,0,False
0018d6c1044896624fea15fba77042ff,ftp,2,201071,2851627,0,0,0,False
001c5b30837b88b90bdaa8aa9237876e,ftp,2,901544,12239521,0,0,0,False
0027f0d370386d02babef774cc6b5e00,packup,4,2908,853,3858,2186,0,False
003a1fd56e14558e3c7a90badd34b379,set-cover-sc,2,7485,6948,0,0,0,False
0047ee1f446e79b48bdc9923d4f88aaa,packup,4,2335,873,3285,2293,0,False
004916c1ed0afb678e4a6ee95a98e149,packup,2,518,555,0,0,0,False
005b83f5a2f31ee12ee3d0a11e8a6f47,packup,2,5205,3713,0,0,0,False
00790a73b4ea5f118cdf3acdae9c34b4,set-cover-ep,4,10129,10377,9390,10900,0,False
007a2d3a4cb08923139772d711813dd0,packup,3,806,5362,3808,0,0,False
0088c96f4791e0190a2e77df52b2c1ed,packup,2,797,3837,0,0,0,False
0088fc5d95241a7e0b464a104c299d7b,packup,3,2207,3177,1432,0,0,False
008ff955e73f4f89da17cda47549a7eb,mlic,2,302,50,0,0,0,False
009f795766e470b1e3f38815240eeae3,packup,2,691,804,0,0,0,True
00cd020ff1f6353b8687a99381722d83,packup,2,2659,2723,0,0,0,False
00d9e69e8e41beaadbf0f3ffcad21d4c,packup,4,4412,806,5362,3808,0,False
00dca8088b91df7fd294f5294c764868,mlic,2,1820,100,0,0,0,False
00f8bb1e3102c78931720049dcdbfe4b,packup,3,4973,3267,3568,0,0,False
00fcc10636bd63f7ea373133a8b00f67,packup,3,2736,3686,2092,0,0,False
00ffb4737e61712d79b23eef869c7352,packup,4,2928,5250,3414,3653,0,False
01069019ffa9202a6441e267c267150c,packup,4,892,5514,4019,3803,0,False
012bbbf37ea3139ab087a45fd2d070a3,packup,4,4387,849,5337,3756,0,False
0130891009868f4c7147867452a0ddb1,packup,2,873,2463,0,0,0,False
0142b18f46b258ce5d41f0fd63426535,packup,2,547,830,0,0,0,False
01482a289892ee26689d1c530c329dad,set-cover-sc,5,10426,10475,10462,10115,10504,True
01558a27880cfc03c4437a3d48e53526,set-cover,3,5214,4915,5224,0,0,False
0156e51bd0bcbe72d5e78e42cda4dfc7,packup,2,3408,2760,0,0,0,False
0158b4721566fa8b2fc9fa4b2c887f16,packup,3,557,1212,831,0,0,False
016f87c0c7bf583bd422a5a6abe95d8c,set-cover,5,10037,9537,10011,10012,9942,False
01713a9431cef9f6b3dd59cf81e13453,packup,2,3412,2593,0,0,0,False
0177e2c516249d14838546f8f1f84d51,set-cover,4,4702,5335,4940,4597,0,False
01872c1611a0ea68275243265d407342,packup,2,557,1758,0,0,0,False
018cd29877d19dc80ed21d786c60af2b,mlic,2,230,5000,0,0,0,False
01a12a7145fe29d5344666b1145a23b2,packup,3,1483,793,2433,0,0,False
01afb43860b47511d089ad2d0e7f87d6,packup,2,2418,802,0,0,0,False
01b1ae40af46666b9d44b926c7561e0f,packup,4,797,5402,3885,3716,0,False
01b8ba0f70a97a3b6cb2ffda3100ccdb,packup,4,1487,862,2437,1742,0,False
01bd467211b9a4706da252d52175618f,packup,3,570,1206,822,0,0,False
01e6ba61c8ac436a870013cbc0373579,set-cover-ep,2,4702,5335,0,0,0,True
01eca2582c1a160ffff87e63ab8130df,packup,2,142,206,0,0,0,False
01f0768e486bff9e8c1752f112cbdfcc,set-cover-sc,2,9731,9313,0,0,0,True
01fb3718e31d1d62ad930cfe9408d4e4,packup,3,2250,884,3200,0,0,False
02000b917381ded025815e3f8fa4dd6d,packup,2,1349,2299,0,0,0,False
020573fb335714e340bbdd74b2ae67e7,packup,3,208,191,289,0,0,False
0211c351e671e8ca74085e00f6978f99,packup,3,3000,1062,471,0,0,False
02141d52a243544c15d64d92199c3a5f,packup,2,411,488,0,0,0,False
0218df0c741e995cf19ac0b0dccfc570,packup,3,1219,2834,3110,0,0,False
0219124f09a118d3dff23e4a1566d7ae,packup,2,1435,1060,0,0,0,False
0220834ba571179771a6cf078dba1d09,packup,2,1414,2364,0,0,0,False
0227f5945d769e1031c91305a70f27cb,set-cover-sc,2,10426,10475,0,0,0,True
0248e99c917e304dd20323eb5a3a3e5a,packup,3,4686,3086,3036,0,0,False
024c3431703fce6abe15c0dd8e16a1c2,set-cover,3,10426,10475,10462,0,0,False
024c8b0e53f5e1879b8bb555c1845d32,packup,3,958,1908,1207,0,0,False
02515eff7140c08a4a5ad484b81c3395,mlic,2,32,1000,0,0,0,False
026163b69abc8ab16a69465873d05356,packup,3,1777,4669,2944,0,0,False
0272b575d586c88a792cf8309d9b728d,ftp,2,866545,11756771,0,0,0,False
0273ec2e1024712b6e23a55683971553,packup,3,4296,5246,3678,0,0,False
0281fbd0fc87c8940e4a395eceaeb5e5,ftp,2,19240,282555,0,0,0,False
02870cbaa6b77187107bc1c447326dcd,packup,2,2023,2973,0,0,0,False
028c5248622fa39d4f0019a452acf9a1,set-cover-sc,3,5048,5084,4870,0,0,False
028de7ad30bd4425f4c836ae11e4ba80,packup,5,2172,2901,5166,3533,3749,False
02900cfd25b3a8aab2cc07ae388a547a,packup,2,135,258,0,0,0,False
0299fe56447d85b4838f4c98d3215658,packup,3,0,1877,431,0,0,False
029e5ade86b50e543b918f419876e470,set-cover-sc,5,5214,4915,5224,5153,5042,False
02c5be6f5312df35891e0433be58c38e,ftp,2,507660,8072670,0,0,0,False
02d61d2a96004c92eaca48ffb7857366,packup,3,3874,2235,2659,0,0,False
02d644fd5e5287160b30e605c447f5fb,packup,2,0,2143,0,0,0,False
02d90ef4ff88f4da2886283e802d61ce,packup,2,1285,1722,0,0,0,False
02f945e9218d2e0814f4efe93d842456,set-cover,5,5130,5393,5044,5380,4960,False
02fa43328eafb8d18ede2dd2d8435e45,spot5,2,200,89,0,0,0,False
02fc52cc883557628afd5ca3c8775c96,packup,2,613,608,0,0,0,False
0301db15edc10686e83a6a3b4d107fb5,packup,2,866,3869,0,0,0,False
031398e89f8c691036f2483ee8d0741e,ftp,2,10147,145470,0,0,0,True
0331f256231386b5a39ef2a4583e0b86,packup,2,0,475,0,0,0,False
033ff7f514f178c4db4f064d3da966f4,ftp,2,411765,5613056,0,0,0,False
0349e55c5842fd3dbeb298d8bae88476,set-cover,5,7913,7905,7744,7801,7460,False
034d6910a86f7004c5692316808ca113,set-cover-sc,3,4702,5335,4940,0,0,False
0372a3d7862f93c1f795b5419114a71d,packup,2,1952,2902,0,0,0,False
0383cf95b428504c715a7c467d3e42ef,mlic,2,250,10000,0,0,0,False
038e15dae5528a48fc178f98545633b1,packup,4,903,2407,937,443,0,False
0397cc3d0e6ee5da56e9fec1374d6e17,packup,3,1493,2443,1736,0,0,True
039a57931bbf2ecff3d3b91354496fef,packup,2,1266,1591,0,0,0,False
039aa10828b9225e0d5bd5fd1db6efcc,mlic,2,302,10000,0,0,0,False
039cdff6655ba355924a09ebc7305753,packup,3,4146,5096,3577,0,0,False
03c943b521fdd0218382253eb3bec4c9,packup,3,862,3790,3694,0,0,False
03d7a6b116734cf643a5da27e399827c,packup,2,844,463,0,0,0,False
03f1d1492cd4e686b4e5d4c9559e3749,set-cover-ep,3,7845,7508,7841,0,0,False
040766df8480a3a5accba81aee9796b5,packup,2,5125,3641,0,0,0,False
040cd503ff5322840749260f7373d25c,packup,2,2451,1737,0,0,0,False
04126c16aca6b1cd96f71a5e194e4393,set-cover,3,7913,7905,7744,0,0,False
04163e62a1b9ff7d1250404779842687,packup,3,449,798,1399,0,0,False
04196f0e07d71ac3062dba4c7c2c01f5,packup,4,2908,855,3858,2186,0,False
0420aec81b95ab761efa472e9e924a76,packup,4,4252,5202,3503,3505,0,False
0421f328084f25a13a884c93d656702d,packup,3,538,1212,831,0,0,False
04321fb3af6b9f933ebb63ecb3b547a3,set-cover,4,10129,10377,9390,10900,0,False
04372510b69ea18daae4254d605de528,ftp,2,908124,11409110,0,0,0,False
043fd8a8006ae7500044f86874fdc77a,packup,3,3863,2226,2657,0,0,False
04448e3b680744e6fdaf255b68bfb3b9,set-cover-ep,5,7845,7508,7841,6702,8210,False
0453dbd15b10a5cbeabf1e021da09272,set-cover-ep,5,4702,5335,4940,4597,4944,False
045b359b6b2d82ab44cf8157b619e553,ftp,2,96401,1628165,0,0,0,False
046f36d877416fa639d77834709e4d2a,packup,2,555,1212,0,0,0,False
047112f08076183f4e1391d6ee2df305,packup,2,534,2509,0,0,0,False
