time,p-minimal-median,p-minimal-25th,p-minimal-75th,mip-pd-median,mip-pd-25th,mip-pd-75th,pareto-ihs-median,pareto-ihs-25th,pareto-ihs-75th
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.35,0.0,1.0,0.0,0.0,1.0
40,0.0,0.0,0.0,0.4375,0.19166666666666668,1.0,0.0,0.0,1.0
60,0.0,0.0,0.25,0.5,0.2,1.0,0.0,0.0,1.0
80,0.0,0.0,0.25,0.5833333333333333,0.2375,1.0,0.0,0.0,1.0
100,0.0,0.0,0.25,0.6666666666666666,0.2375,1.0,0.0,0.0,1.0
120,0.0,0.0,0.25,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,1.0
140,0.0,0.0,0.25,0.6666666666666666,0.38333333333333336,1.0,0.0,0.0,1.0
160,0.0,0.0,0.25,0.6666666666666666,0.475,1.0,0.0,0.0,1.0
180,0.0,0.0,0.25,0.6666666666666666,0.475,1.0,0.0,0.0,1.0
200,0.0,0.0,0.375,0.75,0.475,1.0,0.0,0.0,1.0
220,0.0,0.0,0.75,0.75,0.475,1.0,0.0,0.0,1.0
240,0.0,0.0,0.75,0.75,0.475,1.0,0.0,0.0,1.0
260,0.0,0.0,0.75,0.75,0.475,1.0,0.0,0.0,1.0
280,0.0,0.0,0.75,0.75,0.475,1.0,0.0,0.0,1.0
300,0.0,0.0,0.75,0.75,0.5,1.0,0.0,0.0,1.0
320,0.0,0.0,0.75,0.75,0.5,1.0,0.0,0.0,1.0
340,0.0,0.0,1.0,0.8333333333333333,0.5,1.0,0.0,0.0,1.0
360,0.0,0.0,1.0,0.8333333333333333,0.5,1.0,0.0,0.0,1.0
380,0.0,0.0,1.0,0.8333333333333333,0.5,1.0,0.0,0.0,1.0
400,0.0,0.0,1.0,0.8333333333333333,0.5,1.0,0.0,0.0,1.0
420,0.0,0.0,1.0,0.8333333333333333,0.5,1.0,0.0,0.0,1.0
440,0.0,0.0,1.0,0.8333333333333333,0.5,1.0,0.0,0.0,1.0
460,0.0,0.0,1.0,0.8333333333333333,0.5,1.0,0.0,0.0,1.0
480,0.0,0.0,1.0,0.8333333333333333,0.575,1.0,0.0,0.0,1.0
500,0.0,0.0,1.0,0.875,0.575,1.0,0.0,0.0,1.0
520,0.0,0.0,1.0,0.875,0.575,1.0,0.0,0.0,1.0
540,0.0,0.0,1.0,0.875,0.575,1.0,0.0,0.0,1.0
560,0.0,0.0,1.0,0.875,0.575,1.0,0.0,0.0,1.0
580,0.0,0.0,1.0,0.875,0.575,1.0,0.0,0.0,1.0
600,0.0,0.0,1.0,0.875,0.575,1.0,0.0,0.0,1.0
620,0.0,0.0,1.0,0.9166666666666667,0.575,1.0,0.0,0.0,1.0
640,0.0,0.0,1.0,0.9166666666666667,0.575,1.0,0.0,0.0,1.0
660,0.0,0.0,1.0,0.9166666666666667,0.575,1.0,0.0,0.0,1.0
680,0.0,0.0,1.0,0.9166666666666667,0.575,1.0,0.0,0.0,1.0
700,0.0,0.0,1.0,0.9166666666666667,0.575,1.0,0.0,0.0,1.0
720,0.0,0.0,1.0,0.9166666666666667,0.575,1.0,0.0,0.0,1.0
740,0.0,0.0,1.0,0.9166666666666667,0.575,1.0,0.0,0.0,1.0
760,0.0,0.0,1.0,0.9166666666666667,0.575,1.0,0.0,0.0,1.0
780,0.0,0.0,1.0,0.9166666666666667,0.6,1.0,0.0,0.0,1.0
800,0.0,0.0,1.0,0.9166666666666667,0.6,1.0,0.0,0.0,1.0
820,0.0,0.0,1.0,0.9166666666666667,0.6,1.0,0.0,0.0,1.0
840,0.0,0.0,1.0,0.9166666666666667,0.6,1.0,0.0,0.0,1.0
860,0.0,0.0,1.0,0.9166666666666667,0.6,1.0,0.0,0.0,1.0
880,0.0,0.0,1.0,0.9166666666666667,0.61875,1.0,0.0,0.0,1.0
900,0.0,0.0,1.0,0.9166666666666667,0.61875,1.0,0.0,0.0,1.0
920,0.0,0.0,1.0,0.9166666666666667,0.61875,1.0,0.0,0.0,1.0
940,0.0,0.0,1.0,0.9166666666666667,0.61875,1.0,0.0,0.0,1.0
960,0.0,0.0,1.0,0.9166666666666667,0.61875,1.0,0.08333333333333333,0.0,1.0
980,0.0,0.0,1.0,0.9166666666666667,0.61875,1.0,0.08333333333333333,0.0,1.0
1000,0.0,0.0,1.0,0.9166666666666667,0.61875,1.0,0.08333333333333333,0.0,1.0
1020,0.0,0.0,1.0,1.0,0.65625,1.0,0.08333333333333333,0.0,1.0
1040,0.0,0.0,1.0,1.0,0.7291666666666666,1.0,0.08333333333333333,0.0,1.0
1060,0.0,0.0,1.0,1.0,0.7291666666666666,1.0,0.08333333333333333,0.0,1.0
1080,0.0,0.0,1.0,1.0,0.7291666666666666,1.0,0.08333333333333333,0.0,1.0
1100,0.0,0.0,1.0,1.0,0.7291666666666666,1.0,0.08333333333333333,0.0,1.0
1120,0.0,0.0,1.0,1.0,0.7291666666666666,1.0,0.08333333333333333,0.0,1.0
1140,0.0,0.0,1.0,1.0,0.7291666666666666,1.0,0.08333333333333333,0.0,1.0
1160,0.0,0.0,1.0,1.0,0.7291666666666666,1.0,0.08333333333333333,0.0,1.0
1180,0.0,0.0,1.0,1.0,0.7291666666666666,1.0,0.08333333333333333,0.0,1.0
1200,0.0,0.0,1.0,1.0,0.7291666666666666,1.0,0.08333333333333333,0.0,1.0
1220,0.0,0.0,1.0,1.0,0.7291666666666666,1.0,0.08333333333333333,0.0,1.0
1240,0.0,0.0,1.0,1.0,0.7291666666666666,1.0,0.08333333333333333,0.0,1.0
1260,0.0,0.0,1.0,1.0,0.7291666666666666,1.0,0.08333333333333333,0.0,1.0
