time,p-minimal-median,p-minimal-25th,p-minimal-75th,mip-pd-median,mip-pd-25th,mip-pd-75th,pareto-ihs-median,pareto-ihs-25th,pareto-ihs-75th
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.058823529411764705,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0
40,0.058823529411764705,0.0,0.23809523809523808,0.0,0.0,0.0625,0.0,0.0,0.0
60,0.058823529411764705,0.0,0.23809523809523808,0.0,0.0,0.0625,0.0,0.0,0.0
80,0.1213235294117647,0.0,0.23809523809523808,0.0,0.0,0.0625,0.0,0.0,0.0
100,0.1213235294117647,0.0,0.2857142857142857,0.0,0.0,0.0625,0.0,0.0,0.0
120,0.2,0.0,0.2976190476190476,0.0,0.0,0.0625,0.0,0.0,0.0
140,0.20714285714285713,0.0,0.3611111111111111,0.0,0.0,0.0625,0.0,0.0,0.0
160,0.23214285714285715,0.0,0.4111111111111111,0.0,0.0,0.0625,0.0,0.0,0.0
180,0.26785714285714285,0.0,0.4111111111111111,0.0,0.0,0.0625,0.0,0.0,0.0
200,0.26785714285714285,0.0,0.44999999999999996,0.0,0.0,0.0625,0.0,0.0,0.0
220,0.26785714285714285,0.0,0.44999999999999996,0.0,0.0,0.10661764705882353,0.0,0.0,0.0
240,0.2857142857142857,0.0,0.475,0.0,0.0,0.10661764705882353,0.0,0.0,0.0
260,0.2857142857142857,0.0,0.475,0.0,0.0,0.10661764705882353,0.0,0.0,0.0
280,0.2857142857142857,0.0,0.475,0.0,0.0,0.10661764705882353,0.0,0.0,0.0
300,0.2857142857142857,0.0,0.5,0.0,0.0,0.10661764705882353,0.0,0.0,0.0
320,0.2857142857142857,0.0,0.5,0.0,0.0,0.109375,0.0,0.0,0.0
340,0.2857142857142857,0.0,0.5,0.0,0.0,0.109375,0.0,0.0,0.0
360,0.33035714285714285,0.0,0.5,0.0,0.0,0.109375,0.0,0.0,0.0
380,0.33035714285714285,0.0,0.5,0.0,0.0,0.109375,0.0,0.0,0.0
400,0.3875,0.0,0.5083333333333333,0.0,0.0,0.109375,0.0,0.0,0.0
420,0.3875,0.0,0.5083333333333333,0.0,0.0,0.109375,0.0,0.0,0.0
440,0.41875,0.0,0.5083333333333333,0.0,0.0,0.109375,0.0,0.0,0.0
460,0.41875,0.0,0.5083333333333333,0.0,0.0,0.15073529411764705,0.0,0.0,0.0
480,0.4330357142857143,0.0,0.5083333333333333,0.0,0.0,0.15073529411764705,0.0,0.0,0.0
500,0.4722222222222222,0.0,0.5428571428571428,0.0,0.0,0.15625,0.0,0.0,0.0
520,0.4722222222222222,0.0,0.5428571428571428,0.0,0.0,0.15625,0.0,0.0,0.0
