time,p-minimal-median,p-minimal-25th,p-minimal-75th,mip-pd-median,mip-pd-25th,mip-pd-75th,pareto-ihs-median,pareto-ihs-25th,pareto-ihs-75th
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0055401525876986,0.07690412848556508,0.0399585111051791,0.4706387933902628,0.07690412848556508,0.03934435119781993,0.4706387933902628
40,0.0,0.0,0.014439884155327827,0.10384997671525185,0.056145589580422324,0.5819840301652435,0.10440509950878615,0.05605185342780851,0.5800155262282356
60,0.0,0.0,0.02632575757575758,0.1246043702840938,0.06707769368400031,0.6346601347213717,0.12425963564721873,0.06740649705981439,0.6452235150030619
80,0.0,0.0,0.03151241328952172,0.13938472649039566,0.07576650153969741,0.7048683404776485,0.13800318120641136,0.07536827130466706,0.7048683404776485
100,0.0011263307740069358,0.0,0.04160969029492202,0.15081738437001596,0.08243020426458347,0.7601653398652787,0.1513894000736106,0.08305434766800948,0.7601653398652787
120,0.001818064182194617,0.0,0.059742647058823525,0.1624662618083671,0.0897075502531325,0.8048989589712185,0.1639599435652067,0.0890046449110519,0.8154623392529088
140,0.0028250051834957496,0.0,0.06890617985934461,0.17161458333333335,0.09578099872080967,0.8474586650336804,0.1727110745614035,0.09532053080546088,0.8496325780771586
160,0.0034788350926891823,0.0,0.0736280487804878,0.17990679824561404,0.10107301261349458,0.9005817513778321,0.18131853070175438,0.10042490046328607,0.9005817513778321
180,0.004130116959064328,0.0,0.07964385474860335,0.187384983437615,0.10572854006172716,0.9366197183098591,0.18760734879155933,0.10514250865753388,0.9366197183098591
200,0.004682931286549707,0.0,0.08208798882681564,0.19329683474420317,0.1100686971603963,0.9577464788732394,0.19548981720034353,0.10965551529680988,0.9577464788732394
220,0.005756578947368422,0.0,0.10153631284916201,0.2003051772788615,0.11448202431870397,0.9788732394366197,0.2013057255244755,0.11433269184058593,0.9788732394366197
240,0.008863154465680272,0.0,0.1122338505954529,0.20621702858544966,0.11885149959246714,0.9894366197183099,0.20696022727272728,0.11761248549368575,0.9894366197183099
260,0.01040293221265335,0.0,0.1290978339102718,0.21367460664335663,0.12284724868925725,1.0,0.21280048076923075,0.12160823459047586,1.0
280,0.012538119542886493,0.0,0.13969386346630247,0.2185478583916084,0.12635202447875898,1.0,0.21776660839160839,0.12532527688682005,1.0
300,0.013416668077685026,0.0,0.14526983094928478,0.22351398601398603,0.12985137623216148,1.0,0.22185861013986014,0.12928630818147852,1.0
320,0.013801876090011683,0.0,0.15102405721716514,0.2284801136363636,0.13257789557207947,1.0,0.22682473776223777,0.1333376279172495,1.0
340,0.014187084102338338,0.0,0.1515625,0.2325721153846154,0.13664955479959226,1.0,0.2317908653846154,0.1360595761041171,1.0
360,0.014187084102338338,0.0,0.1515625,0.237538243006993,0.13962332272894823,1.0,0.23588286713286713,0.1395412566361547,1.0
380,0.015307698730794923,0.0,0.1609375,0.24084899475524474,0.14351839393913768,1.0,0.24084899475524474,0.14302498220815235,1.0
400,0.015766242937853107,0.0,0.1609375,0.24659637237762239,0.14615856560411417,1.0,0.2449409965034965,0.14591017365031272,1.0
420,0.01641186761684643,0.0,0.1609375,0.24981424825174825,0.14888254003888757,1.0,0.2497308298319328,0.14872180900915272,1.0
440,0.01787195854992465,0.0,0.1657210195530726,0.2549566701680672,0.151695724518712,1.0,0.254094450280112,0.15126913027248973,1.0
460,0.018537414965986394,0.0,0.1671875,0.2600205707282913,0.15439545709341718,1.0,0.25923932072829137,0.15432694780081674,1.0
480,0.01912269924692285,0.0,0.1671875,0.2636839110644258,0.15776470486606026,1.0,0.2636029411764706,0.15670958438589844,1.0
500,0.020977212177646726,0.0,0.190625,0.26882878151260503,0.15926924151196575,1.0,0.2687478116246499,0.15943449048152297,1.0
520,0.020977212177646726,0.0,0.190625,0.2731924019607843,0.16164878499667418,1.0,0.2731114320728292,0.16176745054124675,1.0
540,0.021954494780581736,0.0,0.20468750000000002,0.2768557422969188,0.16307629938211202,1.0,0.2767747724089636,0.1641004106009705,1.0
560,0.023112529725192975,0.0,0.20851755526657997,0.28051908263305325,0.16639290407358737,1.0,0.280438112745098,0.16643337066069427,1.0
580,0.023311606011225783,0.0,0.2099804941482445,0.28418242296918766,0.16882298394236772,1.0,0.2848017331932773,0.16895182059511074,1.0
600,0.023945319572695998,0.0,0.2298683355006502,0.28854604341736695,0.17125306381114808,1.0,0.28846507352941175,0.1712835294583779,1.0
620,0.023945319572695998,0.0,0.2327942132639792,0.29220938375350136,0.17368314367992843,1.0,0.2921284138655462,0.17371220604703247,1.0
640,0.023945319572695998,0.0,0.23588263979193758,0.29587272408963583,0.1759112424407125,1.0,0.2950105042016806,0.17604516610675625,1.0
660,0.024167861124382864,0.0,0.23637028608582575,0.2990025278404045,0.17836786602799748,1.0,0.29868654778984766,0.17869996169948626,1.0
680,0.024167861124382864,0.0,0.23702048114434332,0.30241815476190476,0.18046814080427762,1.0,0.30233718487394956,0.1809669559015809,1.0
700,0.02493737044902527,0.0,0.23750812743823146,0.30555270888843344,0.18247509477058982,1.0,0.305219275210084,0.18407193893049117,1.0
720,0.025420993956463064,0.0,0.24118958376588606,0.3086698093871695,0.18451552114663397,1.0,0.3090541094486575,0.1852054360315385,1.0
740,0.027733306650657062,0.0,0.2506556588825387,0.3128031700485072,0.18706988848043765,1.0,0.3114709298353488,0.1880515638731078,1.0
760,0.027733306650657062,0.0,0.2580331872671045,0.31592027054724325,0.1887405305800111,1.0,0.3156042904966865,0.19028190498831174,1.0
780,0.032508616726482115,0.0,0.30123537061118333,0.3193533510965362,0.19108997045833456,1.0,0.3187213909954225,0.19260675823490114,1.0
800,0.032508616726482115,0.0,0.30139791937581273,0.3224704515952722,0.19313991573886974,1.0,0.32215447154471544,0.194437482207617,1.0
820,0.032508616726482115,0.0,0.3030234070221066,0.32558755209400836,0.19540458919535522,1.0,0.32527157204345153,0.195871545431404,1.0
840,0.032508616726482115,0.0,0.3048114434330299,0.3290206326433012,0.19740779197987657,1.0,0.3283886725421876,0.19751025104746442,1.0
860,0.03364333229196034,0.0,0.30562418725617685,0.3321377331420373,0.199645390070922,1.0,0.3318217530914805,0.19954111082827086,1.0
