time,p-minimal-median,p-minimal-25th,p-minimal-75th,mip-pd-median,mip-pd-25th,mip-pd-75th,pareto-ihs-median,pareto-ihs-25th,pareto-ihs-75th
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0
40,0.0,0.0,0.0,0.03571428571428571,0.0,1.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.03571428571428571,0.0,1.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.20192307692307693,0.0,1.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.20192307692307693,0.0,1.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.20192307692307693,0.0,1.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.20192307692307693,0.0,1.0,0.0,0.0,0.0
160,0.0,0.0,0.0,0.20192307692307693,0.0,1.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.20192307692307693,0.0,1.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.20192307692307693,0.0,1.0,0.0,0.0,0.019230769230769232
220,0.0,0.0,0.0,0.23214285714285715,0.0,1.0,0.0,0.0,0.019230769230769232
240,0.0,0.0,0.0,0.23214285714285715,0.0,1.0,0.0,0.0,0.019230769230769232
260,0.0,0.0,0.0,0.2403846153846154,0.0,1.0,0.0,0.0,0.019230769230769232
280,0.0,0.0,0.0,0.26785714285714285,0.0,1.0,0.0,0.0,0.038461538461538464
300,0.0,0.0,0.0,0.26785714285714285,0.0,1.0,0.0,0.0,0.038461538461538464
320,0.0,0.0,0.0,0.26785714285714285,0.0,1.0,0.0,0.0,0.038461538461538464
340,0.0,0.0,0.0,0.26785714285714285,0.0,1.0,0.0,0.0,0.038461538461538464
360,0.0,0.0,0.0,0.26785714285714285,0.0,1.0,0.0,0.0,0.038461538461538464
380,0.0,0.0,0.0,0.26785714285714285,0.0,1.0,0.0,0.0,0.038461538461538464
400,0.0,0.0,0.0,0.26785714285714285,0.0,1.0,0.0,0.0,0.038461538461538464
420,0.0,0.0,0.0,0.29166666666666663,0.0,1.0,0.0,0.0,0.038461538461538464
440,0.0,0.0,0.0,0.29166666666666663,0.0,1.0,0.0,0.0,0.038461538461538464
460,0.0,0.0,0.0,0.29166666666666663,0.0,1.0,0.0,0.0,0.038461538461538464
480,0.0,0.0,0.0,0.29166666666666663,0.0,1.0,0.0,0.0,0.038461538461538464
500,0.0,0.0,0.0,0.29166666666666663,0.0,1.0,0.0,0.0,0.08846153846153847
520,0.0,0.0,0.0,0.29166666666666663,0.0,1.0,0.0,0.0,0.08846153846153847
540,0.0,0.0,0.0,0.29166666666666663,0.0,1.0,0.0,0.0,0.08846153846153847
560,0.0,0.0,0.0,0.29166666666666663,0.0,1.0,0.0,0.0,0.08846153846153847
580,0.0,0.0,0.0,0.29166666666666663,0.0,1.0,0.0,0.0,0.08846153846153847
600,0.0,0.0,0.0,0.29166666666666663,0.0,1.0,0.0,0.0,0.08846153846153847
620,0.0,0.0,0.0,0.29166666666666663,0.0,1.0,0.0,0.0,0.08846153846153847
640,0.0,0.0,0.0,0.3205128205128205,0.0,1.0,0.0,0.0,0.08846153846153847
660,0.0,0.0,0.0,0.3205128205128205,0.0,1.0,0.0,0.0,0.08846153846153847
680,0.0,0.0,0.0,0.3205128205128205,0.0,1.0,0.0,0.0,0.08846153846153847
700,0.0,0.0,0.0,0.3205128205128205,0.0,1.0,0.0,0.0,0.08846153846153847
720,0.0,0.0,0.0,0.3205128205128205,0.0,1.0,0.0,0.0,0.08846153846153847
740,0.0,0.0,0.0,0.3205128205128205,0.0,1.0,0.0,0.0,0.08846153846153847
