hash,family,p-minimal,p-minimal-cb,clm-ihs,mip-pd,pareto-ihs,pareto-ihs-norm,pareto-ihs-lex,pareto-ihs-noprecomp,pareto-ihs-norcf,pareto-ihs-nowce,pareto-ihs-nomin,pareto-ihs-noseeding,pareto-ihs-cb
009f795766e470b1e3f38815240eeae3,packup,50.5166,10.9844,3600.0,21.0407,10.0,10.0,10.7393,10.0,10.0,10.0,10.0,10.0,10.0
01482a289892ee26689d1c530c329dad,sc-sc,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
01e6ba61c8ac436a870013cbc0373579,sc-ep,25.9529,10.0122,106.146,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,97.6582
01f0768e486bff9e8c1752f112cbdfcc,sc-sc,3600.0,2109.36,3600.0,95.0385,92.8566,107.642,131.259,98.9987,98.2732,94.8425,95.8949,115.189,2013.53
0227f5945d769e1031c91305a70f27cb,sc-sc,3600.0,3600.0,3600.0,126.791,126.942,116.809,144.478,124.677,127.928,124.218,125.111,131.604,1901.61
031398e89f8c691036f2483ee8d0741e,ftp,10.0,10.0,78.3169,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0397cc3d0e6ee5da56e9fec1374d6e17,packup,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
047e5aa5597ed97dd55e26fc4c17a156,sc-sc,3600.0,3600.0,3600.0,255.984,256.056,267.422,298.128,261.254,256.396,256.855,254.91,309.226,3600.0
04ee83f5b860d2cc2c67a18efe97ee61,packup,3600.0,3600.0,3600.0,362.716,10.5837,11.7555,14.9938,36.848,10.1851,14.8004,10.0,10.6186,10.0
0509514a971a37254f12bb8b60bd911a,dal,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
070cfcf28df41a2d25853d2b6e6410bf,sc-sc,3600.0,38.5172,3600.0,17.5312,17.3286,16.7048,17.2485,17.3768,17.2677,17.1267,17.2869,19.5784,114.712
075752eba5c0f4ec5abacca1cf7877a6,dal,10.0,10.0,3600.0,2591.42,141.475,51.4832,257.566,158.062,130.826,72.3319,80.3194,100.123,66.765
076f8012075b283ca133377b08ebb4a5,packup,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
07b4ae6ee314c78632b353313299a1a8,packup,3600.0,3600.0,3600.0,528.144,16.2069,17.7946,23.7337,19.366,14.8013,25.698,36.765,17.0192,14.8363
07bf0e9791e8c94100b3f44ea0c00f44,mlic,140.229,10.0,3600.0,703.301,10.0,10.0,10.0,64.7644,10.0,14.8374,50.8108,10.0,16.1114
07c2185cda744f10b5cf800d18f6ce3d,packup,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
07faaaa0d2159fa1487a448408d79b53,sc-ep,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
08713e4014212cfb4b5f38af643a7a55,sc-sc,467.537,72.2856,3600.0,1169.41,1225.32,1240.84,3600.0,1174.0,1191.55,1206.98,1173.74,1258.02,1598.83
09b64eae244b66bc7a14da7aad8a9b26,sc-ep,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
0a92f0b6321097b10c84e4cd4c64c66f,spot5,3600.0,200.539,3600.0,295.903,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
0b5039b970f147846ed101bd6573fcc2,packup,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
0bc6c5e6674f0cd4aa4c3bf1cf2ebc70,packup,103.476,45.939,3600.0,76.9269,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0e65b070923f4f234f5e61f7d1159b9b,spot5,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
0ec932de353de4de3bc67c4caec08bb9,spot5,118.743,10.0,3600.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0edff75095de9819650c99deab68cd72,dal,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
0efa64e644876727fbb7dc84635a18a1,sc-sc,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
