hash,bos_exitcode,bos_result,bos_CPUTIME,bos_MAXVM,bos_HOSTNAME,bos_SLURM_ARRAY_TASK_ID,bos_NSOLS,bos_NNONDOM,bos_NCANDIDATES,bos_SOLVER_CLS,bos_ENC1_CLS,bos_ENC2_CLS,bos_ENC3_CLS,bos_ENC4_CLS,bos_ENC5_CLS,bos_ENC6_CLS,bos_ENC7_CLS,bos_ENC8_CLS,bos_ENC9_CLS,bos_out,bos_var,bos_wat,bos_baseline_exitcode,bos_baseline_result,bos_baseline_CPUTIME,bos_baseline_MAXVM,bos_baseline_HOSTNAME,bos_baseline_SLURM_ARRAY_TASK_ID,bos_baseline_NSOLS,bos_baseline_NNONDOM,bos_baseline_NCANDIDATES,bos_baseline_SOLVER_CLS,bos_baseline_ENC1_CLS,bos_baseline_ENC2_CLS,bos_baseline_ENC3_CLS,bos_baseline_ENC4_CLS,bos_baseline_ENC5_CLS,bos_baseline_ENC6_CLS,bos_baseline_ENC7_CLS,bos_baseline_ENC8_CLS,bos_baseline_ENC9_CLS,bos_baseline_out,bos_baseline_var,bos_baseline_wat
009f795766e470b1e3f38815240eeae3,0,solved,18.9873,143324,kale-811.local.cs.helsinki.fi,1,39,39,670,189577,100892,64413,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos.wat,0,solved,15.2558,135772,kale-814.local.cs.helsinki.fi,1,39,39,670,189577,100892,64413,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos-baseline.wat
01e6ba61c8ac436a870013cbc0373579,0,solved,35.5755,382260,kale-811.local.cs.helsinki.fi,2,22,22,124,1837240,796584,1025365,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos.wat,0,solved,27.4914,354296,kale-806.local.cs.helsinki.fi,2,22,22,124,1837240,796584,1025365,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos-baseline.wat
01f0768e486bff9e8c1752f112cbdfcc,0,timeout,3600.08,2087728,kale-811.local.cs.helsinki.fi,3,18,18,260,9956790,6327793,3612324,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.bos.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.bos.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.bos.wat,0,timeout,3600.09,1905700,kale-806.local.cs.helsinki.fi,3,18,18,262,9957355,6327793,3612889,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.bos-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.bos-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.bos-baseline.wat
0227f5945d769e1031c91305a70f27cb,0,timeout,3600.08,2057924,kale-816.local.cs.helsinki.fi,4,12,12,205,9115917,5995079,3096361,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.bos.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.bos.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.bos.wat,0,timeout,3600.09,1847124,kale-814.local.cs.helsinki.fi,4,12,12,208,9115917,5995079,3096361,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.bos-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.bos-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.bos-baseline.wat
031398e89f8c691036f2483ee8d0741e,0,solved,21.8137,329440,kale-814.local.cs.helsinki.fi,5,3,3,3,1975892,387520,1559402,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos.wat,0,solved,18.8357,306196,kale-802.local.cs.helsinki.fi,5,3,3,3,1975892,387520,1559402,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos-baseline.wat
047e5aa5597ed97dd55e26fc4c17a156,0,timeout,3600.09,2632760,kale-814.local.cs.helsinki.fi,6,11,11,186,12625588,8654216,3953027,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.bos.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.bos.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.bos.wat,0,timeout,3600.11,2335424,kale-806.local.cs.helsinki.fi,6,11,11,187,12625588,8654216,3953027,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.bos-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.bos-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.bos-baseline.wat
04ee83f5b860d2cc2c67a18efe97ee61,0,timeout,3600.1,1613212,kale-806.local.cs.helsinki.fi,7,10,10,170,6239275,5955081,216414,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.bos.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.bos.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.bos.wat,0,timeout,3600.06,1447872,kale-802.local.cs.helsinki.fi,7,10,10,170,6239275,5955081,216414,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.bos-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.bos-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.bos-baseline.wat
070cfcf28df41a2d25853d2b6e6410bf,0,solved,132.378,567884,kale-808.local.cs.helsinki.fi,8,42,42,362,2394555,1410429,974208,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.bos.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.bos.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.bos.wat,0,solved,116.443,475792,kale-804.local.cs.helsinki.fi,8,42,42,362,2394555,1410429,974208,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.bos-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.bos-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.bos-baseline.wat
07b4ae6ee314c78632b353313299a1a8,0,timeout,3600.13,541264,kale-804.local.cs.helsinki.fi,9,8,8,76,1089275,800292,214902,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07b4ae6ee314c78632b353313299a1a8.bos.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07b4ae6ee314c78632b353313299a1a8.bos.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07b4ae6ee314c78632b353313299a1a8.bos.wat,0,timeout,3600.06,344376,kale-811.local.cs.helsinki.fi,9,8,8,76,1089275,800292,214902,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07b4ae6ee314c78632b353313299a1a8.bos-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07b4ae6ee314c78632b353313299a1a8.bos-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07b4ae6ee314c78632b353313299a1a8.bos-baseline.wat
07bf0e9791e8c94100b3f44ea0c00f44,0,solved,3.86267,129936,kale-809.local.cs.helsinki.fi,10,3,3,8,144095,4543,18992,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos.wat,0,solved,2.83576,120628,kale-804.local.cs.helsinki.fi,10,3,3,8,144095,4543,18992,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos-baseline.wat
