hash,bos_nocb_exitcode,bos_nocb_result,bos_nocb_CPUTIME,bos_nocb_MAXVM,bos_nocb_HOSTNAME,bos_nocb_SLURM_ARRAY_TASK_ID,bos_nocb_NSOLS,bos_nocb_NNONDOM,bos_nocb_NCANDIDATES,bos_nocb_SOLVER_CLS,bos_nocb_ENC1_CLS,bos_nocb_ENC2_CLS,bos_nocb_ENC3_CLS,bos_nocb_ENC4_CLS,bos_nocb_ENC5_CLS,bos_nocb_ENC6_CLS,bos_nocb_ENC7_CLS,bos_nocb_ENC8_CLS,bos_nocb_ENC9_CLS,bos_nocb_out,bos_nocb_var,bos_nocb_wat,bos_nocb_baseline_exitcode,bos_nocb_baseline_result,bos_nocb_baseline_CPUTIME,bos_nocb_baseline_MAXVM,bos_nocb_baseline_HOSTNAME,bos_nocb_baseline_SLURM_ARRAY_TASK_ID,bos_nocb_baseline_NSOLS,bos_nocb_baseline_NNONDOM,bos_nocb_baseline_NCANDIDATES,bos_nocb_baseline_SOLVER_CLS,bos_nocb_baseline_ENC1_CLS,bos_nocb_baseline_ENC2_CLS,bos_nocb_baseline_ENC3_CLS,bos_nocb_baseline_ENC4_CLS,bos_nocb_baseline_ENC5_CLS,bos_nocb_baseline_ENC6_CLS,bos_nocb_baseline_ENC7_CLS,bos_nocb_baseline_ENC8_CLS,bos_nocb_baseline_ENC9_CLS,bos_nocb_baseline_out,bos_nocb_baseline_var,bos_nocb_baseline_wat
009f795766e470b1e3f38815240eeae3,0,solved,47.7962,195116,kale-813.local.cs.helsinki.fi,1,39,39,744,338702,144169,170358,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos-nocb.wat,0,solved,40.0694,169864,kale-810.local.cs.helsinki.fi,1,39,39,744,338702,144169,170358,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos-nocb-baseline.wat
01e6ba61c8ac436a870013cbc0373579,0,solved,57.4131,1523268,kale-810.local.cs.helsinki.fi,2,22,22,308,6003911,5751233,250418,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos-nocb.wat,0,solved,51.354,1314600,kale-805.local.cs.helsinki.fi,2,22,22,308,6003911,5751233,250418,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos-nocb-baseline.wat
01f0768e486bff9e8c1752f112cbdfcc,0,timeout,3600.36,6178268,kale-803.local.cs.helsinki.fi,3,3,3,267,29159868,26831247,2328261,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.bos-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.bos-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.bos-nocb.wat,0,timeout,3600.13,5501556,kale-806.local.cs.helsinki.fi,3,3,3,260,29120107,26813332,2306415,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.bos-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.bos-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.bos-nocb-baseline.wat
0227f5945d769e1031c91305a70f27cb,0,timeout,3600.08,7265568,kale-813.local.cs.helsinki.fi,4,4,4,290,32896866,30676317,2220069,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.bos-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.bos-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.bos-nocb.wat,0,timeout,3600.12,6072384,kale-810.local.cs.helsinki.fi,4,4,4,266,32896866,30676317,2220069,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.bos-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.bos-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.bos-nocb-baseline.wat
031398e89f8c691036f2483ee8d0741e,0,solved,8.49652,139888,kale-810.local.cs.helsinki.fi,5,3,3,3,422904,142949,276618,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos-nocb.wat,0,solved,8.05752,126340,kale-805.local.cs.helsinki.fi,5,3,3,3,422904,142949,276618,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos-nocb-baseline.wat
047e5aa5597ed97dd55e26fc4c17a156,0,timeout,3600.32,6143112,kale-810.local.cs.helsinki.fi,6,4,4,262,30023112,27512375,2510277,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.bos-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.bos-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.bos-nocb.wat,0,timeout,3600.11,5321488,kale-806.local.cs.helsinki.fi,6,3,3,252,29915112,27404475,2510277,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.bos-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.bos-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.bos-nocb-baseline.wat
04ee83f5b860d2cc2c67a18efe97ee61,0,timeout,3600.07,2005192,kale-812.local.cs.helsinki.fi,7,10,10,817,9107570,5958056,3081734,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.bos-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.bos-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.bos-nocb.wat,0,timeout,3600.07,1689624,kale-805.local.cs.helsinki.fi,7,10,10,817,9107570,5958056,3081734,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.bos-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.bos-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.bos-nocb-baseline.wat
070cfcf28df41a2d25853d2b6e6410bf,0,timeout,3600.09,1536180,kale-813.local.cs.helsinki.fi,8,8,8,312,6710076,5856387,852845,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.bos-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.bos-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.bos-nocb.wat,0,timeout,3600.07,1358388,kale-814.local.cs.helsinki.fi,8,9,9,335,6710174,5856387,852845,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.bos-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.bos-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.bos-nocb-baseline.wat
07b4ae6ee314c78632b353313299a1a8,0,timeout,3600.07,1155612,kale-803.local.cs.helsinki.fi,9,7,7,554,4874673,3445078,1355791,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07b4ae6ee314c78632b353313299a1a8.bos-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07b4ae6ee314c78632b353313299a1a8.bos-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07b4ae6ee314c78632b353313299a1a8.bos-nocb.wat,0,timeout,3600.09,1002552,kale-812.local.cs.helsinki.fi,9,7,7,583,4374590,2945075,1355711,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07b4ae6ee314c78632b353313299a1a8.bos-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07b4ae6ee314c78632b353313299a1a8.bos-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07b4ae6ee314c78632b353313299a1a8.bos-nocb-baseline.wat
07bf0e9791e8c94100b3f44ea0c00f44,0,solved,216.099,3135584,kale-804.local.cs.helsinki.fi,10,3,3,4967,12701110,48443,12557293,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos-nocb.wat,0,solved,169.777,2849400,kale-808.local.cs.helsinki.fi,10,3,3,4967,12701110,48443,12557293,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos-nocb-baseline.wat
