hash,bos_nocb_veripb_exitcode,bos_nocb_veripb_result,bos_nocb_veripb_CPUTIME,bos_nocb_veripb_MAXVM,bos_nocb_veripb_HOSTNAME,bos_nocb_veripb_SLURM_ARRAY_TASK_ID,bos_nocb_veripb_out,bos_nocb_veripb_var,bos_nocb_veripb_wat
009f795766e470b1e3f38815240eeae3,0,solved,447.437,1021076,kale-802.local.cs.helsinki.fi,1,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos-nocb.veripb.wat
01e6ba61c8ac436a870013cbc0373579,0,solved,889.299,6675716,kale-812.local.cs.helsinki.fi,2,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos-nocb.veripb.wat
031398e89f8c691036f2483ee8d0741e,0,solved,56.8319,572036,kale-809.local.cs.helsinki.fi,5,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos-nocb.veripb.wat
07bf0e9791e8c94100b3f44ea0c00f44,0,solved,16957,19635396,kale-809.local.cs.helsinki.fi,10,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos-nocb.veripb.wat
0bc6c5e6674f0cd4aa4c3bf1cf2ebc70,0,solved,5165.62,8128732,kale-810.local.cs.helsinki.fi,12,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.bos-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.bos-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.bos-nocb.veripb.wat
0ec932de353de4de3bc67c4caec08bb9,0,solved,3598.91,993756,kale-802.local.cs.helsinki.fi,14,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0ec932de353de4de3bc67c4caec08bb9.bos-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0ec932de353de4de3bc67c4caec08bb9.bos-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0ec932de353de4de3bc67c4caec08bb9.bos-nocb.veripb.wat
1315c7a70e5233b354e17e8eb55fa9e9,0,solved,2162.02,795700,kale-814.local.cs.helsinki.fi,16,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1315c7a70e5233b354e17e8eb55fa9e9.bos-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1315c7a70e5233b354e17e8eb55fa9e9.bos-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1315c7a70e5233b354e17e8eb55fa9e9.bos-nocb.veripb.wat
13d31acb79375c7fddc4c7dcfb2dacf9,0,solved,6422.81,8067720,kale-809.local.cs.helsinki.fi,17,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/13d31acb79375c7fddc4c7dcfb2dacf9.bos-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/13d31acb79375c7fddc4c7dcfb2dacf9.bos-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/13d31acb79375c7fddc4c7dcfb2dacf9.bos-nocb.veripb.wat
14ebdfdede4d00ddb39afd0ec2e96272,0,solved,196.899,1861000,kale-812.local.cs.helsinki.fi,18,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/14ebdfdede4d00ddb39afd0ec2e96272.bos-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/14ebdfdede4d00ddb39afd0ec2e96272.bos-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/14ebdfdede4d00ddb39afd0ec2e96272.bos-nocb.veripb.wat
1502e8556290e5b1a5275e952c42a374,0,solved,2876.42,10910824,kale-812.local.cs.helsinki.fi,19,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1502e8556290e5b1a5275e952c42a374.bos-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1502e8556290e5b1a5275e952c42a374.bos-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1502e8556290e5b1a5275e952c42a374.bos-nocb.veripb.wat
