hash,bos_veripb_exitcode,bos_veripb_result,bos_veripb_CPUTIME,bos_veripb_MAXVM,bos_veripb_HOSTNAME,bos_veripb_SLURM_ARRAY_TASK_ID,bos_veripb_out,bos_veripb_var,bos_veripb_wat
009f795766e470b1e3f38815240eeae3,0,solved,247.028,647664,kale-813.local.cs.helsinki.fi,1,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.bos.veripb.wat
01e6ba61c8ac436a870013cbc0373579,0,solved,807.698,3321380,kale-810.local.cs.helsinki.fi,2,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.bos.veripb.wat
031398e89f8c691036f2483ee8d0741e,0,solved,572.216,3183580,kale-804.local.cs.helsinki.fi,5,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.bos.veripb.wat
070cfcf28df41a2d25853d2b6e6410bf,0,solved,1052.7,4040540,kale-813.local.cs.helsinki.fi,8,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.bos.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.bos.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.bos.veripb.wat
07bf0e9791e8c94100b3f44ea0c00f44,0,solved,605.411,559524,kale-812.local.cs.helsinki.fi,10,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.bos.veripb.wat
0a92f0b6321097b10c84e4cd4c64c66f,0,solved,5523.74,1403068,kale-804.local.cs.helsinki.fi,11,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0a92f0b6321097b10c84e4cd4c64c66f.bos.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0a92f0b6321097b10c84e4cd4c64c66f.bos.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0a92f0b6321097b10c84e4cd4c64c66f.bos.veripb.wat
0bc6c5e6674f0cd4aa4c3bf1cf2ebc70,0,solved,1455.54,1271048,kale-814.local.cs.helsinki.fi,12,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.bos.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.bos.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.bos.veripb.wat
0ec932de353de4de3bc67c4caec08bb9,0,solved,1.54581,61152,kale-810.local.cs.helsinki.fi,14,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0ec932de353de4de3bc67c4caec08bb9.bos.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0ec932de353de4de3bc67c4caec08bb9.bos.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0ec932de353de4de3bc67c4caec08bb9.bos.veripb.wat
1315c7a70e5233b354e17e8eb55fa9e9,0,solved,3398.71,894096,kale-810.local.cs.helsinki.fi,16,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1315c7a70e5233b354e17e8eb55fa9e9.bos.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1315c7a70e5233b354e17e8eb55fa9e9.bos.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1315c7a70e5233b354e17e8eb55fa9e9.bos.veripb.wat
13d31acb79375c7fddc4c7dcfb2dacf9,0,solved,5212.32,6667572,kale-804.local.cs.helsinki.fi,17,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/13d31acb79375c7fddc4c7dcfb2dacf9.bos.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/13d31acb79375c7fddc4c7dcfb2dacf9.bos.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/13d31acb79375c7fddc4c7dcfb2dacf9.bos.veripb.wat
