hash,lb_exitcode,lb_result,lb_CPUTIME,lb_MAXVM,lb_HOSTNAME,lb_SLURM_ARRAY_TASK_ID,lb_NSOLS,lb_NNONDOM,lb_NCANDIDATES,lb_SOLVER_CLS,lb_ENC1_CLS,lb_ENC2_CLS,lb_ENC3_CLS,lb_ENC4_CLS,lb_ENC5_CLS,lb_ENC6_CLS,lb_ENC7_CLS,lb_ENC8_CLS,lb_ENC9_CLS,lb_out,lb_var,lb_wat,lb_baseline_exitcode,lb_baseline_result,lb_baseline_CPUTIME,lb_baseline_MAXVM,lb_baseline_HOSTNAME,lb_baseline_SLURM_ARRAY_TASK_ID,lb_baseline_NSOLS,lb_baseline_NNONDOM,lb_baseline_NCANDIDATES,lb_baseline_SOLVER_CLS,lb_baseline_ENC1_CLS,lb_baseline_ENC2_CLS,lb_baseline_ENC3_CLS,lb_baseline_ENC4_CLS,lb_baseline_ENC5_CLS,lb_baseline_ENC6_CLS,lb_baseline_ENC7_CLS,lb_baseline_ENC8_CLS,lb_baseline_ENC9_CLS,lb_baseline_out,lb_baseline_var,lb_baseline_wat
009f795766e470b1e3f38815240eeae3,0,solved,12.9795,124272,kale-806.local.cs.helsinki.fi,1,39,39,39,125131,41058,59807,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb.wat,0,solved,11.525,119144,kale-806.local.cs.helsinki.fi,1,39,39,39,125131,41058,59807,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb-baseline.wat
01482a289892ee26689d1c530c329dad,0,timeout,3600.09,1075400,kale-811.local.cs.helsinki.fi,2,0,0,0,3117569,854466,637974,708005,510200,397892,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.lb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.lb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.lb.wat,0,timeout,3600.07,903912,kale-806.local.cs.helsinki.fi,2,0,0,0,3135330,858716,641542,711859,513476,400705,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.lb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.lb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.lb-baseline.wat
01e6ba61c8ac436a870013cbc0373579,0,solved,40.7492,288136,kale-804.local.cs.helsinki.fi,3,22,22,22,963170,443817,508486,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb.wat,0,solved,35.8037,265604,kale-814.local.cs.helsinki.fi,3,22,22,22,963170,443817,508486,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb-baseline.wat
01f0768e486bff9e8c1752f112cbdfcc,0,timeout,3600.09,782692,kale-806.local.cs.helsinki.fi,4,33,33,35,1977573,1001174,963406,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.lb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.lb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.lb.wat,0,timeout,3600.43,729032,kale-814.local.cs.helsinki.fi,4,43,43,45,2599268,1325371,1258944,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.lb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.lb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.lb-baseline.wat
0227f5945d769e1031c91305a70f27cb,0,timeout,3600.12,630616,kale-804.local.cs.helsinki.fi,5,1,1,1,1017707,629727,377098,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.lb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.lb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.lb.wat,0,timeout,3600.07,523028,kale-813.local.cs.helsinki.fi,5,1,1,1,1030252,636713,382657,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.lb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.lb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.lb-baseline.wat
02ffa741b87530c365a78bbd51d2d317,0,solved,0.846928,88576,kale-808.local.cs.helsinki.fi,6,45,45,90,3484,2,204,107,44,46,0,0,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb.wat,0,solved,0.623922,87920,kale-817.local.cs.helsinki.fi,6,45,45,90,3484,2,204,107,44,46,0,0,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb-baseline.wat
031398e89f8c691036f2483ee8d0741e,0,solved,18.5026,194656,kale-817.local.cs.helsinki.fi,7,3,3,3,740421,73908,659729,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb.wat,0,solved,17.6699,184488,kale-817.local.cs.helsinki.fi,7,3,3,3,740421,73908,659729,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb-baseline.wat
0397cc3d0e6ee5da56e9fec1374d6e17,0,timeout,3600.12,665492,kale-808.local.cs.helsinki.fi,8,0,0,0,510567,85148,192814,167895,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.lb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.lb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.lb.wat,0,timeout,3600.1,410900,kale-812.local.cs.helsinki.fi,8,0,0,0,514138,85148,194716,169564,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.lb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.lb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.lb-baseline.wat
047e5aa5597ed97dd55e26fc4c17a156,0,timeout,3600.06,604164,kale-811.local.cs.helsinki.fi,9,0,0,0,826436,381567,441132,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.lb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.lb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.lb.wat,0,timeout,3600.11,482432,kale-817.local.cs.helsinki.fi,9,0,0,0,838277,387088,447452,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.lb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.lb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.lb-baseline.wat
04ee83f5b860d2cc2c67a18efe97ee61,0,timeout,3600.08,483612,kale-817.local.cs.helsinki.fi,10,0,0,0,296699,148394,80545,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.lb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.lb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.lb.wat,0,timeout,3600.05,342960,kale-803.local.cs.helsinki.fi,10,0,0,0,296699,148394,80545,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.lb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.lb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.lb-baseline.wat
