hash,lb_nocb_exitcode,lb_nocb_result,lb_nocb_CPUTIME,lb_nocb_MAXVM,lb_nocb_HOSTNAME,lb_nocb_SLURM_ARRAY_TASK_ID,lb_nocb_NSOLS,lb_nocb_NNONDOM,lb_nocb_NCANDIDATES,lb_nocb_SOLVER_CLS,lb_nocb_ENC1_CLS,lb_nocb_ENC2_CLS,lb_nocb_ENC3_CLS,lb_nocb_ENC4_CLS,lb_nocb_ENC5_CLS,lb_nocb_ENC6_CLS,lb_nocb_ENC7_CLS,lb_nocb_ENC8_CLS,lb_nocb_ENC9_CLS,lb_nocb_out,lb_nocb_var,lb_nocb_wat,lb_nocb_baseline_exitcode,lb_nocb_baseline_result,lb_nocb_baseline_CPUTIME,lb_nocb_baseline_MAXVM,lb_nocb_baseline_HOSTNAME,lb_nocb_baseline_SLURM_ARRAY_TASK_ID,lb_nocb_baseline_NSOLS,lb_nocb_baseline_NNONDOM,lb_nocb_baseline_NCANDIDATES,lb_nocb_baseline_SOLVER_CLS,lb_nocb_baseline_ENC1_CLS,lb_nocb_baseline_ENC2_CLS,lb_nocb_baseline_ENC3_CLS,lb_nocb_baseline_ENC4_CLS,lb_nocb_baseline_ENC5_CLS,lb_nocb_baseline_ENC6_CLS,lb_nocb_baseline_ENC7_CLS,lb_nocb_baseline_ENC8_CLS,lb_nocb_baseline_ENC9_CLS,lb_nocb_baseline_out,lb_nocb_baseline_var,lb_nocb_baseline_wat
009f795766e470b1e3f38815240eeae3,0,solved,84.6434,165260,kale-817.local.cs.helsinki.fi,1,39,39,39,188701,100604,63922,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb-nocb.wat,0,solved,73.7886,150720,kale-804.local.cs.helsinki.fi,1,39,39,39,188701,100604,63922,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb-nocb-baseline.wat
01482a289892ee26689d1c530c329dad,0,timeout,3600.11,737760,kale-810.local.cs.helsinki.fi,2,0,0,0,436026,89358,85578,86994,88726,85310,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.lb-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.lb-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.lb-nocb.wat,0,timeout,3600.16,557672,kale-808.local.cs.helsinki.fi,2,0,0,0,436026,89358,85578,86994,88726,85310,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.lb-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.lb-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.lb-nocb-baseline.wat
01e6ba61c8ac436a870013cbc0373579,0,solved,148.88,223736,kale-811.local.cs.helsinki.fi,3,22,22,23,193949,96476,92790,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb-nocb.wat,0,solved,116.232,185252,kale-812.local.cs.helsinki.fi,3,22,22,23,193949,96476,92790,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb-nocb-baseline.wat
01f0768e486bff9e8c1752f112cbdfcc,0,timeout,3600.12,553328,kale-813.local.cs.helsinki.fi,4,0,0,0,166902,83406,83436,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.lb-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.lb-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.lb-nocb.wat,0,timeout,3600.09,424644,kale-805.local.cs.helsinki.fi,4,0,0,0,167342,83625,83657,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.lb-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.lb-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.lb-nocb-baseline.wat
0227f5945d769e1031c91305a70f27cb,0,timeout,3600.12,578428,kale-817.local.cs.helsinki.fi,5,0,0,0,187290,96583,90627,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.lb-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.lb-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.lb-nocb.wat,0,timeout,3600.13,404936,kale-804.local.cs.helsinki.fi,5,0,0,0,189506,97703,91723,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.lb-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.lb-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.lb-nocb-baseline.wat
02ffa741b87530c365a78bbd51d2d317,0,solved,1.86991,89092,kale-816.local.cs.helsinki.fi,6,45,45,56,4214,13,709,107,110,110,110,110,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb-nocb.wat,0,solved,0.807765,88376,kale-812.local.cs.helsinki.fi,6,45,45,56,4214,13,709,107,110,110,110,110,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb-nocb-baseline.wat
031398e89f8c691036f2483ee8d0741e,0,solved,6.943,256104,kale-816.local.cs.helsinki.fi,7,3,3,3,596957,223826,369572,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb-nocb.wat,0,solved,2.53561,231436,kale-812.local.cs.helsinki.fi,7,3,3,3,596957,223826,369572,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb-nocb-baseline.wat
0397cc3d0e6ee5da56e9fec1374d6e17,0,timeout,3600.1,742732,kale-808.local.cs.helsinki.fi,8,0,0,0,1670332,209778,1189618,206535,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.lb-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.lb-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.lb-nocb.wat,0,timeout,3600.11,476740,kale-812.local.cs.helsinki.fi,8,0,0,0,1670332,209778,1189618,206535,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.lb-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.lb-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.lb-nocb-baseline.wat
047e5aa5597ed97dd55e26fc4c17a156,0,timeout,3600.07,534852,kale-811.local.cs.helsinki.fi,9,0,0,0,165775,82707,83008,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.lb-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.lb-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.lb-nocb.wat,0,timeout,3600.11,416188,kale-816.local.cs.helsinki.fi,9,0,0,0,167110,83379,83671,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.lb-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.lb-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.lb-nocb-baseline.wat
04ee83f5b860d2cc2c67a18efe97ee61,0,timeout,3600.08,462464,kale-816.local.cs.helsinki.fi,10,0,0,0,306931,158629,80542,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.lb-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.lb-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.lb-nocb.wat,0,timeout,3600.06,324192,kale-813.local.cs.helsinki.fi,10,0,0,0,306931,158629,80542,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.lb-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.lb-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.lb-nocb-baseline.wat
