hash,lb_nocb_veripb_exitcode,lb_nocb_veripb_result,lb_nocb_veripb_CPUTIME,lb_nocb_veripb_MAXVM,lb_nocb_veripb_HOSTNAME,lb_nocb_veripb_SLURM_ARRAY_TASK_ID,lb_nocb_veripb_out,lb_nocb_veripb_var,lb_nocb_veripb_wat
009f795766e470b1e3f38815240eeae3,0,solved,460.139,835584,kale-804.local.cs.helsinki.fi,1,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb-nocb.veripb.wat
01e6ba61c8ac436a870013cbc0373579,0,solved,790.074,1647204,kale-804.local.cs.helsinki.fi,3,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb-nocb.veripb.wat
02ffa741b87530c365a78bbd51d2d317,0,solved,9.72743,83016,kale-817.local.cs.helsinki.fi,6,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb-nocb.veripb.wat
031398e89f8c691036f2483ee8d0741e,0,solved,376.394,2980044,kale-817.local.cs.helsinki.fi,7,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb-nocb.veripb.wat
075752eba5c0f4ec5abacca1cf7877a6,0,solved,342.978,424460,kale-810.local.cs.helsinki.fi,13,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/075752eba5c0f4ec5abacca1cf7877a6.lb-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/075752eba5c0f4ec5abacca1cf7877a6.lb-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/075752eba5c0f4ec5abacca1cf7877a6.lb-nocb.veripb.wat
07bf0e9791e8c94100b3f44ea0c00f44,0,solved,1106.49,1198652,kale-814.local.cs.helsinki.fi,16,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.lb-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.lb-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.lb-nocb.veripb.wat
0bc6c5e6674f0cd4aa4c3bf1cf2ebc70,0,solved,1392.82,1093212,kale-809.local.cs.helsinki.fi,23,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.lb-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.lb-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.lb-nocb.veripb.wat
0ec932de353de4de3bc67c4caec08bb9,0,solved,4051.81,1167716,kale-817.local.cs.helsinki.fi,25,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0ec932de353de4de3bc67c4caec08bb9.lb-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0ec932de353de4de3bc67c4caec08bb9.lb-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0ec932de353de4de3bc67c4caec08bb9.lb-nocb.veripb.wat
1194882463ab07878f54451af45aebb0,0,solved,0.255831,51156,kale-810.local.cs.helsinki.fi,29,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1194882463ab07878f54451af45aebb0.lb-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1194882463ab07878f54451af45aebb0.lb-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1194882463ab07878f54451af45aebb0.lb-nocb.veripb.wat
13d31acb79375c7fddc4c7dcfb2dacf9,0,solved,3026.34,4983824,kale-810.local.cs.helsinki.fi,32,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/13d31acb79375c7fddc4c7dcfb2dacf9.lb-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/13d31acb79375c7fddc4c7dcfb2dacf9.lb-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/13d31acb79375c7fddc4c7dcfb2dacf9.lb-nocb.veripb.wat
