hash,family,objectives,selected
0000eef35de852093311b6344e8bd51a,packup,2,False
00031254ccc0860c1c6a18c31268adbb,dal,7,False
0003ed33ca295fb19d0d2e5c0c928fac,packup,4,False
0006470520ba38d01b064ce8ca288e7e,dal,7,False
0015c3aefda5379b6d970017576fe3fb,packup,3,False
001772b5f1d10f8ed9dfbcf9fb99bf77,packup,3,False
0018d6c1044896624fea15fba77042ff,ftp,2,False
001c5b30837b88b90bdaa8aa9237876e,ftp,2,False
0027f0d370386d02babef774cc6b5e00,packup,4,False
003a1fd56e14558e3c7a90badd34b379,set-cover-sc,2,False
0047ee1f446e79b48bdc9923d4f88aaa,packup,4,False
004916c1ed0afb678e4a6ee95a98e149,packup,2,False
005b83f5a2f31ee12ee3d0a11e8a6f47,packup,2,False
005ee001637d5ea929ffbf595c9b458d,dal,7,False
006d121082b7d0cd6a39b8c059e5b3f4,dal,7,False
00790a73b4ea5f118cdf3acdae9c34b4,set-cover-ep,4,False
007a2d3a4cb08923139772d711813dd0,packup,3,False
0088c96f4791e0190a2e77df52b2c1ed,packup,2,False
0088fc5d95241a7e0b464a104c299d7b,packup,3,False
008f18119618be343d0c61b6e38996e1,dal,7,False
008ff955e73f4f89da17cda47549a7eb,mlic,2,False
009f795766e470b1e3f38815240eeae3,packup,2,True
00b8a6fbba0e0d68337377aabab5cf57,dal,7,False
00bf0dfc568981b1e3e14cd7c4ac8053,dal,7,False
00cd020ff1f6353b8687a99381722d83,packup,2,False
00d9e69e8e41beaadbf0f3ffcad21d4c,packup,4,False
00dca8088b91df7fd294f5294c764868,mlic,2,False
00f3bfb210369b6b9dff78797f8babe8,dal,7,False
00f8bb1e3102c78931720049dcdbfe4b,packup,3,False
00fcc10636bd63f7ea373133a8b00f67,packup,3,False
00ffb4737e61712d79b23eef869c7352,packup,4,False
01069019ffa9202a6441e267c267150c,packup,4,False
012bbbf37ea3139ab087a45fd2d070a3,packup,4,False
0130891009868f4c7147867452a0ddb1,packup,2,False
013e290f8ee9ac90e576729d8e632b38,dal,7,False
0142b18f46b258ce5d41f0fd63426535,packup,2,False
01482a289892ee26689d1c530c329dad,set-cover-sc,5,True
01558a27880cfc03c4437a3d48e53526,set-cover,3,False
0156e51bd0bcbe72d5e78e42cda4dfc7,packup,2,False
0158b4721566fa8b2fc9fa4b2c887f16,packup,3,False
016f87c0c7bf583bd422a5a6abe95d8c,set-cover,5,False
01713a9431cef9f6b3dd59cf81e13453,packup,2,False
0177e2c516249d14838546f8f1f84d51,set-cover,4,False
01872c1611a0ea68275243265d407342,packup,2,False
018cd29877d19dc80ed21d786c60af2b,mlic,2,False
018dea5b4a1cc4bda79712eeb5c1948c,dal,7,False
018fb4e3d9f3cad69e9324aff03928cf,dal,7,False
01a12a7145fe29d5344666b1145a23b2,packup,3,False
01acd07484c5e83f387b16458f6def41,dal,7,False
01afb43860b47511d089ad2d0e7f87d6,packup,2,False
01b06ce920535a06d2429a84cfd4b464,dal,7,False
01b1ae40af46666b9d44b926c7561e0f,packup,4,False
01b8ba0f70a97a3b6cb2ffda3100ccdb,packup,4,False
01bd467211b9a4706da252d52175618f,packup,3,False
01d58297bf6071ef53d68a587ae406d9,dal,7,False
01e41bd93491f8a650795f678fb054b3,dal,7,False
01e6ba61c8ac436a870013cbc0373579,set-cover-ep,2,True
01eca2582c1a160ffff87e63ab8130df,packup,2,False
01f0768e486bff9e8c1752f112cbdfcc,set-cover-sc,2,True
01fb3718e31d1d62ad930cfe9408d4e4,packup,3,False
02000b917381ded025815e3f8fa4dd6d,packup,2,False
020573fb335714e340bbdd74b2ae67e7,packup,3,False
0211c351e671e8ca74085e00f6978f99,packup,3,False
02141d52a243544c15d64d92199c3a5f,packup,2,False
0218df0c741e995cf19ac0b0dccfc570,packup,3,False
0219124f09a118d3dff23e4a1566d7ae,packup,2,False
0220834ba571179771a6cf078dba1d09,packup,2,False
0227f5945d769e1031c91305a70f27cb,set-cover-sc,2,True
0248e99c917e304dd20323eb5a3a3e5a,packup,3,False
024c3431703fce6abe15c0dd8e16a1c2,set-cover,3,False
024c8b0e53f5e1879b8bb555c1845d32,packup,3,False
02515eff7140c08a4a5ad484b81c3395,mlic,2,False
026163b69abc8ab16a69465873d05356,packup,3,False
026f476d1a37255f7a999bcc324ad375,dal,7,False
0272b575d586c88a792cf8309d9b728d,ftp,2,False
0273ec2e1024712b6e23a55683971553,packup,3,False
0281fbd0fc87c8940e4a395eceaeb5e5,ftp,2,False
02870cbaa6b77187107bc1c447326dcd,packup,2,False
028c5248622fa39d4f0019a452acf9a1,set-cover-sc,3,False
028de7ad30bd4425f4c836ae11e4ba80,packup,5,False
02900cfd25b3a8aab2cc07ae388a547a,packup,2,False
0295f7d324a7e668fda6474fc62250cf,dal,7,False
0299fe56447d85b4838f4c98d3215658,packup,3,False
029e5ade86b50e543b918f419876e470,set-cover-sc,5,False
02be18f962922fee8756c1300cf3fee6,dal,6,False
02c5be6f5312df35891e0433be58c38e,ftp,2,False
02d61d2a96004c92eaca48ffb7857366,packup,3,False
02d644fd5e5287160b30e605c447f5fb,packup,2,False
02d90ef4ff88f4da2886283e802d61ce,packup,2,False
02e3f3c1f67c3a297fe2bf4e0f9b400d,dal,7,False
02e62c0f8ff8fc4cf6ca1c9ffc9d2a65,dal,7,False
02f945e9218d2e0814f4efe93d842456,set-cover,5,False
02fa43328eafb8d18ede2dd2d8435e45,spot5,2,False
02fc52cc883557628afd5ca3c8775c96,packup,2,False
02ffa741b87530c365a78bbd51d2d317,dal,7,False
0301db15edc10686e83a6a3b4d107fb5,packup,2,False
031398e89f8c691036f2483ee8d0741e,ftp,2,True
0331f256231386b5a39ef2a4583e0b86,packup,2,False
033ff7f514f178c4db4f064d3da966f4,ftp,2,False
0349e55c5842fd3dbeb298d8bae88476,set-cover,5,False
034d6910a86f7004c5692316808ca113,set-cover-sc,3,False
03637d9386e541911835219dab363c67,dal,7,False
036ceb3870c63ba60ea34d865408e9eb,dal,7,False
036d664517605fc6a4b75838d2356afc,dal,7,False
0372a3d7862f93c1f795b5419114a71d,packup,2,False
037e496301aae8268a4c6af85aec00d6,dal,7,False
0383cf95b428504c715a7c467d3e42ef,mlic,2,False
038e15dae5528a48fc178f98545633b1,packup,4,False
0397cc3d0e6ee5da56e9fec1374d6e17,packup,3,True
039a57931bbf2ecff3d3b91354496fef,packup,2,False
039aa10828b9225e0d5bd5fd1db6efcc,mlic,2,False
039cdff6655ba355924a09ebc7305753,packup,3,False
03bae5b356cf1040f8e03ad49c539956,dal,7,False
