hash,pmin_exitcode,pmin_result,pmin_CPUTIME,pmin_MAXVM,pmin_HOSTNAME,pmin_SLURM_ARRAY_TASK_ID,pmin_NSOLS,pmin_NNONDOM,pmin_NCANDIDATES,pmin_SOLVER_CLS,pmin_ENC1_CLS,pmin_ENC2_CLS,pmin_ENC3_CLS,pmin_ENC4_CLS,pmin_ENC5_CLS,pmin_ENC6_CLS,pmin_ENC7_CLS,pmin_ENC8_CLS,pmin_ENC9_CLS,pmin_out,pmin_var,pmin_wat,pmin_baseline_exitcode,pmin_baseline_result,pmin_baseline_CPUTIME,pmin_baseline_MAXVM,pmin_baseline_HOSTNAME,pmin_baseline_SLURM_ARRAY_TASK_ID,pmin_baseline_NSOLS,pmin_baseline_NNONDOM,pmin_baseline_NCANDIDATES,pmin_baseline_SOLVER_CLS,pmin_baseline_ENC1_CLS,pmin_baseline_ENC2_CLS,pmin_baseline_ENC3_CLS,pmin_baseline_ENC4_CLS,pmin_baseline_ENC5_CLS,pmin_baseline_ENC6_CLS,pmin_baseline_ENC7_CLS,pmin_baseline_ENC8_CLS,pmin_baseline_ENC9_CLS,pmin_baseline_out,pmin_baseline_var,pmin_baseline_wat
009f795766e470b1e3f38815240eeae3,0,solved,12.0933,136308,kale-808.local.cs.helsinki.fi,1,39,39,165,126253,41608,60253,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin.wat,0,solved,10.1591,127304,kale-811.local.cs.helsinki.fi,1,39,39,165,126253,41608,60253,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin-baseline.wat
01482a289892ee26689d1c530c329dad,0,timeout,3600.2,5683536,kale-808.local.cs.helsinki.fi,2,4,4,11,26461625,6232604,6589589,6598738,3907480,3118992,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.pmin.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.pmin.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.pmin.wat,0,timeout,3600.12,5380192,kale-811.local.cs.helsinki.fi,2,4,4,11,26461625,6232604,6589589,6598738,3907480,3118992,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.pmin-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.pmin-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.pmin-baseline.wat
01e6ba61c8ac436a870013cbc0373579,0,solved,14.4601,311272,kale-808.local.cs.helsinki.fi,3,22,22,43,966908,443817,508486,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin.wat,0,solved,12.3888,281656,kale-804.local.cs.helsinki.fi,3,22,22,43,966908,443817,508486,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin-baseline.wat
01f0768e486bff9e8c1752f112cbdfcc,0,solved,2688.34,1986628,kale-808.local.cs.helsinki.fi,4,59,59,139,9243775,2474594,6736095,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.pmin.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.pmin.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.pmin.wat,0,solved,2375.69,1859752,kale-804.local.cs.helsinki.fi,4,59,59,139,9243775,2474594,6736095,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.pmin-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.pmin-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.pmin-baseline.wat
0227f5945d769e1031c91305a70f27cb,0,timeout,3600.13,1535632,kale-809.local.cs.helsinki.fi,5,8,8,54,7594955,4803419,2770313,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.pmin.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.pmin.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.pmin.wat,0,timeout,3600.18,1388276,kale-809.local.cs.helsinki.fi,5,8,8,57,7595546,4803419,2770313,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.pmin-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.pmin-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.pmin-baseline.wat
02ffa741b87530c365a78bbd51d2d317,0,solved,0.470591,87376,kale-809.local.cs.helsinki.fi,6,45,45,54,3680,3,438,104,44,46,0,0,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin.wat,0,solved,0.341848,86896,kale-814.local.cs.helsinki.fi,6,45,45,54,3680,3,438,104,44,46,0,0,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin-baseline.wat
031398e89f8c691036f2483ee8d0741e,0,solved,18.3806,183848,kale-809.local.cs.helsinki.fi,7,3,3,4,751628,73908,670269,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin.wat,0,solved,17.3941,172256,kale-814.local.cs.helsinki.fi,7,3,3,4,751628,73908,670269,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin-baseline.wat
0397cc3d0e6ee5da56e9fec1374d6e17,0,timeout,3600.1,557124,kale-809.local.cs.helsinki.fi,8,2,2,67,1198465,145933,875036,112719,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.pmin.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.pmin.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.pmin.wat,0,timeout,3600.12,473992,kale-813.local.cs.helsinki.fi,8,2,2,67,1198465,145933,875036,112719,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.pmin-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.pmin-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.pmin-baseline.wat
047e5aa5597ed97dd55e26fc4c17a156,0,timeout,3600.11,1489608,kale-810.local.cs.helsinki.fi,9,3,3,22,6644321,2550391,4086076,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.pmin.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.pmin.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.pmin.wat,0,timeout,3600.48,1416504,kale-814.local.cs.helsinki.fi,9,3,3,22,6644321,2550391,4086076,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.pmin-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.pmin-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.pmin-baseline.wat
04ee83f5b860d2cc2c67a18efe97ee61,0,timeout,3600.14,736260,kale-810.local.cs.helsinki.fi,10,5,5,67,1163628,867071,228618,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.pmin.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.pmin.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.pmin.wat,0,timeout,3600.06,421196,kale-811.local.cs.helsinki.fi,10,5,5,67,1163628,867071,228618,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.pmin-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.pmin-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.pmin-baseline.wat
