hash,pmin_nocb_exitcode,pmin_nocb_result,pmin_nocb_CPUTIME,pmin_nocb_MAXVM,pmin_nocb_HOSTNAME,pmin_nocb_SLURM_ARRAY_TASK_ID,pmin_nocb_NSOLS,pmin_nocb_NNONDOM,pmin_nocb_NCANDIDATES,pmin_nocb_SOLVER_CLS,pmin_nocb_ENC1_CLS,pmin_nocb_ENC2_CLS,pmin_nocb_ENC3_CLS,pmin_nocb_ENC4_CLS,pmin_nocb_ENC5_CLS,pmin_nocb_ENC6_CLS,pmin_nocb_ENC7_CLS,pmin_nocb_ENC8_CLS,pmin_nocb_ENC9_CLS,pmin_nocb_out,pmin_nocb_var,pmin_nocb_wat,pmin_nocb_baseline_exitcode,pmin_nocb_baseline_result,pmin_nocb_baseline_CPUTIME,pmin_nocb_baseline_MAXVM,pmin_nocb_baseline_HOSTNAME,pmin_nocb_baseline_SLURM_ARRAY_TASK_ID,pmin_nocb_baseline_NSOLS,pmin_nocb_baseline_NNONDOM,pmin_nocb_baseline_NCANDIDATES,pmin_nocb_baseline_SOLVER_CLS,pmin_nocb_baseline_ENC1_CLS,pmin_nocb_baseline_ENC2_CLS,pmin_nocb_baseline_ENC3_CLS,pmin_nocb_baseline_ENC4_CLS,pmin_nocb_baseline_ENC5_CLS,pmin_nocb_baseline_ENC6_CLS,pmin_nocb_baseline_ENC7_CLS,pmin_nocb_baseline_ENC8_CLS,pmin_nocb_baseline_ENC9_CLS,pmin_nocb_baseline_out,pmin_nocb_baseline_var,pmin_nocb_baseline_wat
009f795766e470b1e3f38815240eeae3,0,solved,58.2946,192912,kale-806.local.cs.helsinki.fi,1,39,39,200,317501,121394,171771,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin-nocb.wat,0,solved,48.4582,193380,kale-809.local.cs.helsinki.fi,1,39,39,200,317501,121394,171771,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin-nocb-baseline.wat
01482a289892ee26689d1c530c329dad,0,timeout,3600.15,3645688,kale-806.local.cs.helsinki.fi,2,0,0,8,16389019,3624178,3325675,3579912,3236375,2619311,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.pmin-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.pmin-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.pmin-nocb.wat,0,timeout,3600.78,3341764,kale-817.local.cs.helsinki.fi,2,0,0,8,16389019,3624178,3325675,3579912,3236375,2619311,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.pmin-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.pmin-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01482a289892ee26689d1c530c329dad.pmin-nocb-baseline.wat
01e6ba61c8ac436a870013cbc0373579,0,solved,30.1259,320720,kale-810.local.cs.helsinki.fi,3,22,22,57,1039411,537299,490795,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin-nocb.wat,0,solved,26.767,310768,kale-802.local.cs.helsinki.fi,3,22,22,57,1039411,537299,490795,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin-nocb-baseline.wat
01f0768e486bff9e8c1752f112cbdfcc,0,timeout,3600.11,1734540,kale-805.local.cs.helsinki.fi,4,1,1,40,7940857,3613328,4319629,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.pmin-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.pmin-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.pmin-nocb.wat,0,timeout,3600.12,1580144,kale-809.local.cs.helsinki.fi,4,1,1,40,7940857,3613328,4319629,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.pmin-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.pmin-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.pmin-nocb-baseline.wat
0227f5945d769e1031c91305a70f27cb,0,timeout,3600.15,1854612,kale-810.local.cs.helsinki.fi,5,0,0,19,7930156,3867197,4059260,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.pmin-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.pmin-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.pmin-nocb.wat,0,timeout,3600.15,1708828,kale-802.local.cs.helsinki.fi,5,0,0,19,7930156,3867197,4059260,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.pmin-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.pmin-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0227f5945d769e1031c91305a70f27cb.pmin-nocb-baseline.wat
02ffa741b87530c365a78bbd51d2d317,0,solved,0.622918,88100,kale-804.local.cs.helsinki.fi,6,45,45,134,4287,12,924,104,101,101,11,11,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin-nocb.wat,0,solved,0.458408,87320,kale-803.local.cs.helsinki.fi,6,45,45,134,4287,12,924,104,101,101,11,11,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin-nocb-baseline.wat
031398e89f8c691036f2483ee8d0741e,0,solved,18.9547,423988,kale-804.local.cs.helsinki.fi,7,3,3,5,2735812,144047,2585788,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin-nocb.wat,0,solved,16.3837,388440,kale-803.local.cs.helsinki.fi,7,3,3,5,2735812,144047,2585788,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin-nocb-baseline.wat
0397cc3d0e6ee5da56e9fec1374d6e17,0,timeout,3600.08,743916,kale-804.local.cs.helsinki.fi,8,0,0,12,2056707,177704,1109069,705521,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.pmin-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.pmin-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.pmin-nocb.wat,0,timeout,3600.11,619216,kale-803.local.cs.helsinki.fi,8,0,0,12,2056707,177704,1109069,705521,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.pmin-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.pmin-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0397cc3d0e6ee5da56e9fec1374d6e17.pmin-nocb-baseline.wat
047e5aa5597ed97dd55e26fc4c17a156,0,timeout,3600.1,1489928,kale-811.local.cs.helsinki.fi,9,0,0,19,6174129,3081064,3089422,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.pmin-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.pmin-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.pmin-nocb.wat,0,timeout,3600.09,1372684,kale-805.local.cs.helsinki.fi,9,0,0,19,6174129,3081064,3089422,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.pmin-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.pmin-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/047e5aa5597ed97dd55e26fc4c17a156.pmin-nocb-baseline.wat
04ee83f5b860d2cc2c67a18efe97ee61,0,timeout,3600.08,723620,kale-813.local.cs.helsinki.fi,10,3,3,737,3270700,117815,3082914,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.pmin-nocb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.pmin-nocb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.pmin-nocb.wat,0,timeout,3600.12,505636,kale-806.local.cs.helsinki.fi,10,3,3,737,3270700,117815,3082914,,,,,,,,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.pmin-nocb-baseline.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.pmin-nocb-baseline.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/04ee83f5b860d2cc2c67a18efe97ee61.pmin-nocb-baseline.wat
