hash,pmin_nocb_veripb_exitcode,pmin_nocb_veripb_result,pmin_nocb_veripb_CPUTIME,pmin_nocb_veripb_MAXVM,pmin_nocb_veripb_HOSTNAME,pmin_nocb_veripb_SLURM_ARRAY_TASK_ID,pmin_nocb_veripb_out,pmin_nocb_veripb_var,pmin_nocb_veripb_wat
009f795766e470b1e3f38815240eeae3,0,solved,1213.37,968852,kale-814.local.cs.helsinki.fi,1,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin-nocb.veripb.wat
01e6ba61c8ac436a870013cbc0373579,0,solved,308.007,1364792,kale-805.local.cs.helsinki.fi,3,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin-nocb.veripb.wat
02ffa741b87530c365a78bbd51d2d317,0,solved,11.0784,79472,kale-812.local.cs.helsinki.fi,6,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin-nocb.veripb.wat
031398e89f8c691036f2483ee8d0741e,0,solved,321.859,2936100,kale-812.local.cs.helsinki.fi,7,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin-nocb.veripb.wat
075752eba5c0f4ec5abacca1cf7877a6,0,solved,652.446,559768,kale-811.local.cs.helsinki.fi,13,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/075752eba5c0f4ec5abacca1cf7877a6.pmin-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/075752eba5c0f4ec5abacca1cf7877a6.pmin-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/075752eba5c0f4ec5abacca1cf7877a6.pmin-nocb.veripb.wat
07bf0e9791e8c94100b3f44ea0c00f44,signal 15 (SIGTERM),timeout,36000.2,8366524,kale-804.local.cs.helsinki.fi,16,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.pmin-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.pmin-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.pmin-nocb.veripb.wat
08713e4014212cfb4b5f38af643a7a55,0,solved,4552.73,4468224,kale-817.local.cs.helsinki.fi,19,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/08713e4014212cfb4b5f38af643a7a55.pmin-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/08713e4014212cfb4b5f38af643a7a55.pmin-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/08713e4014212cfb4b5f38af643a7a55.pmin-nocb.veripb.wat
0bc6c5e6674f0cd4aa4c3bf1cf2ebc70,signal 15 (SIGTERM),timeout,36000.1,6435152,kale-813.local.cs.helsinki.fi,23,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.pmin-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.pmin-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.pmin-nocb.veripb.wat
0ec932de353de4de3bc67c4caec08bb9,0,solved,3604.68,1098888,kale-804.local.cs.helsinki.fi,25,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0ec932de353de4de3bc67c4caec08bb9.pmin-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0ec932de353de4de3bc67c4caec08bb9.pmin-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0ec932de353de4de3bc67c4caec08bb9.pmin-nocb.veripb.wat
1194882463ab07878f54451af45aebb0,0,solved,0.248256,51172,kale-805.local.cs.helsinki.fi,29,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1194882463ab07878f54451af45aebb0.pmin-nocb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1194882463ab07878f54451af45aebb0.pmin-nocb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1194882463ab07878f54451af45aebb0.pmin-nocb.veripb.wat
