hash,pmin_veripb_exitcode,pmin_veripb_result,pmin_veripb_CPUTIME,pmin_veripb_MAXVM,pmin_veripb_HOSTNAME,pmin_veripb_SLURM_ARRAY_TASK_ID,pmin_veripb_out,pmin_veripb_var,pmin_veripb_wat
009f795766e470b1e3f38815240eeae3,0,solved,535.247,634884,kale-814.local.cs.helsinki.fi,1,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.pmin.veripb.wat
01e6ba61c8ac436a870013cbc0373579,0,solved,548.934,1888204,kale-809.local.cs.helsinki.fi,3,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.pmin.veripb.wat
01f0768e486bff9e8c1752f112cbdfcc,0,solved,10408.1,15192780,kale-813.local.cs.helsinki.fi,4,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.pmin.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.pmin.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01f0768e486bff9e8c1752f112cbdfcc.pmin.veripb.wat
02ffa741b87530c365a78bbd51d2d317,0,solved,6.12949,70000,kale-805.local.cs.helsinki.fi,6,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.pmin.veripb.wat
031398e89f8c691036f2483ee8d0741e,0,solved,128.643,1038064,kale-805.local.cs.helsinki.fi,7,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.pmin.veripb.wat
070cfcf28df41a2d25853d2b6e6410bf,0,solved,1878.2,4330784,kale-814.local.cs.helsinki.fi,12,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.pmin.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.pmin.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.pmin.veripb.wat
075752eba5c0f4ec5abacca1cf7877a6,0,solved,527.932,472300,kale-817.local.cs.helsinki.fi,13,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/075752eba5c0f4ec5abacca1cf7877a6.pmin.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/075752eba5c0f4ec5abacca1cf7877a6.pmin.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/075752eba5c0f4ec5abacca1cf7877a6.pmin.veripb.wat
07bf0e9791e8c94100b3f44ea0c00f44,0,solved,7285.23,10321404,kale-812.local.cs.helsinki.fi,16,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.pmin.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.pmin.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.pmin.veripb.wat
08713e4014212cfb4b5f38af643a7a55,0,solved,4765.92,4202896,kale-814.local.cs.helsinki.fi,19,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/08713e4014212cfb4b5f38af643a7a55.pmin.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/08713e4014212cfb4b5f38af643a7a55.pmin.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/08713e4014212cfb4b5f38af643a7a55.pmin.veripb.wat
0a92f0b6321097b10c84e4cd4c64c66f,0,solved,2200.4,1186472,kale-812.local.cs.helsinki.fi,21,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0a92f0b6321097b10c84e4cd4c64c66f.pmin.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0a92f0b6321097b10c84e4cd4c64c66f.pmin.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0a92f0b6321097b10c84e4cd4c64c66f.pmin.veripb.wat
